"event","trial","time","PID"
"fullscreenenter","0","1044",""
"blur","185","67770","1234"
"focus","200","90230","1234"
"blur","559","313774","1234"
"focus","691","53689670","1234"
"blur","746","53915397","1234"
"focus","761","53933133","1234"
"blur","769","53940959","1234"
"focus","1019","54540417","1234"
"blur","1019","54549232","1234"
"focus","1019","54643714","1234"
"fullscreenexit","1019","54643720","1234"
