"event","trial","time","PID"
"blur","0","4313","42594"
"focus","0","182448","42594"
"fullscreenenter","1","189312","11"
"fullscreenexit","440","343059","11"
"blur","452","352872","11"
"focus","527","464994","11"
"blur","542","473197","11"
"focus","576","886272","11"
"blur","586","893528","11"
"focus","722","1438245","11"
"blur","738","1452583","11"
"focus","738","1458072","11"
"blur","1039","1545417","11"
"focus","1174","1720161","11"
"blur","1176","1724014","11"
"focus","1188","1747199","11"
"blur","1194","1754462","11"
"focus","1392","2744648","11"
"blur","1397","2749449","11"
"focus","1418","2785937","11"
"blur","1609","2803839","11"
"focus","1610","2836046","11"
"blur","1610","2838866","11"
"focus","1610","2892530","11"
