PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,no_response
42594,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,367,0
42594,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,gain,0,180,0
42594,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,gain,0,947,0
42594,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,358,0
42594,0,1,1,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,1500,1000,gain,1,209,0
42594,0,1,2,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,2000,1500,gain,1,313,0
42594,0,1,3,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,3000,1000,NaN,0,NaN,1
42594,0,1,4,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,3500,1000,NaN,0,NaN,1
42594,0,1,5,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,1000,3000,NaN,0,NaN,1
42594,0,1,6,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,1500,1500,NaN,0,NaN,1
42594,0,1,7,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1500,1500,NaN,0,NaN,1
42594,0,1,8,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,3500,1500,NaN,0,NaN,1
42594,0,1,9,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,2000,2000,NaN,0,NaN,1
42594,0,1,10,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,1000,3000,NaN,0,NaN,1
42594,0,1,11,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,2000,1500,NaN,0,NaN,1
42594,0,1,12,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,3000,3000,NaN,0,NaN,1
42594,0,1,13,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,2000,2000,NaN,0,NaN,1
42594,0,1,14,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,1000,1000,NaN,0,NaN,1
42594,0,1,15,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,2000,1500,NaN,0,NaN,1
42594,0,1,16,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,3000,3000,NaN,0,NaN,1
42594,0,1,17,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,1500,1000,NaN,0,NaN,1
42594,0,1,18,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,1000,NaN,0,NaN,1
42594,0,1,19,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,3500,1500,NaN,0,NaN,1
42594,0,1,20,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,1000,3500,NaN,0,NaN,1
42594,0,1,21,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,3500,NaN,0,NaN,1
42594,0,1,22,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,3500,2000,NaN,0,NaN,1
42594,0,1,23,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,1000,1500,NaN,0,NaN,1
42594,0,1,24,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,1500,2000,NaN,0,NaN,1
42594,0,1,25,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,3000,1000,gain,1,515,0
42594,0,1,26,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,1000,2000,gain,1,40,0
42594,0,1,27,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,1000,1000,gain,0,27,0
42594,0,1,28,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1500,1000,NaN,0,NaN,1
42594,0,1,29,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1500,2000,NaN,0,NaN,1
42594,0,1,30,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,1500,NaN,0,NaN,1
