PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt
99216,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
99216,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,NaN,NaN,NaN
99216,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,NaN,NaN,NaN
99216,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
99216,0,1,1,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
99216,0,1,2,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,3500,3500,NaN,NaN,NaN
99216,0,1,3,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
99216,0,1,4,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1000,1500,NaN,NaN,NaN
99216,0,1,5,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,3000,3500,NaN,NaN,NaN
99216,0,1,6,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,3000,1000,NaN,NaN,NaN
99216,0,1,7,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
99216,0,1,8,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,2000,1500,NaN,NaN,NaN
99216,0,1,9,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1000,2000,NaN,NaN,NaN
99216,0,1,10,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1500,3000,NaN,NaN,NaN
99216,0,1,11,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1500,3500,NaN,NaN,NaN
99216,0,1,12,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,3500,3000,NaN,NaN,NaN
99216,0,1,13,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,1000,3000,NaN,NaN,NaN
99216,0,1,14,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1500,1500,NaN,NaN,NaN
99216,0,1,15,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
99216,0,1,16,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
99216,0,1,17,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,2000,3500,NaN,NaN,NaN
99216,0,1,18,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,2000,NaN,NaN,NaN
99216,0,1,19,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,3000,2000,NaN,NaN,NaN
99216,0,1,20,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,1500,NaN,NaN,NaN
99216,0,1,21,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
99216,0,1,22,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,1000,1000,NaN,NaN,NaN
99216,0,1,23,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,3000,2000,NaN,NaN,NaN
99216,0,1,24,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1000,3000,NaN,NaN,NaN
99216,0,1,25,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
99216,0,1,26,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
99216,0,1,27,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,1500,3000,NaN,NaN,NaN
99216,0,1,28,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1500,1000,NaN,NaN,NaN
99216,0,1,29,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1000,3000,NaN,NaN,NaN
99216,0,1,30,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1000,3500,NaN,NaN,NaN
99216,0,1,31,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,1500,3000,NaN,NaN,NaN
99216,0,1,32,K,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,no_gain,3500,3000,NaN,NaN,NaN
99216,0,1,33,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
99216,0,1,34,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
99216,0,1,35,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,1500,2000,NaN,NaN,NaN
99216,0,1,36,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,1000,3000,NaN,NaN,NaN
99216,0,2,37,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,3000,2000,NaN,NaN,NaN
99216,0,2,38,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,2000,1000,NaN,NaN,NaN
99216,0,2,39,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1000,3000,NaN,NaN,NaN
99216,0,2,40,K,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,no_gain,3500,1000,NaN,NaN,NaN
99216,0,2,41,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,1500,2000,NaN,NaN,NaN
99216,0,2,42,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
99216,0,2,43,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,3500,1500,NaN,NaN,NaN
99216,0,2,44,E,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,2000,3000,NaN,NaN,NaN
99216,0,2,45,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,3000,1000,NaN,NaN,NaN
99216,0,2,46,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
99216,0,2,47,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,3000,1000,NaN,NaN,NaN
99216,0,2,48,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
99216,0,2,49,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,1000,NaN,NaN,NaN
99216,0,2,50,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,2000,1500,NaN,NaN,NaN
99216,0,2,51,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,2000,2000,NaN,NaN,NaN
99216,0,2,52,I,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
99216,0,2,53,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
99216,0,2,54,K,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
99216,0,2,55,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,3000,1000,NaN,NaN,NaN
99216,0,2,56,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,1000,2000,NaN,NaN,NaN
99216,0,2,57,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1500,1500,NaN,NaN,NaN
99216,0,2,58,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,1500,NaN,NaN,NaN
99216,0,2,59,F,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,no_gain,3000,3500,NaN,NaN,NaN
99216,0,2,60,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,2000,2000,NaN,NaN,NaN
99216,0,2,61,K,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,no_gain,3500,1000,NaN,NaN,NaN
99216,0,2,62,C,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,3000,1500,NaN,NaN,NaN
99216,0,2,63,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
99216,0,2,64,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,2000,1500,NaN,NaN,NaN
99216,0,2,65,K,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,no_gain,1500,1000,NaN,NaN,NaN
99216,0,2,66,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
99216,0,2,67,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,1500,1500,NaN,NaN,NaN
99216,0,2,68,D,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
99216,0,2,69,B,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,1000,1000,NaN,NaN,NaN
99216,0,2,70,A,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1000,3000,NaN,NaN,NaN
99216,0,2,71,G,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,3000,1500,NaN,NaN,NaN
