"event","trial","time","PID"
"fullscreenenter","1","4758","1"
"blur","110","48332","1"
"focus","122","56049","1"
"blur","530","204274","1"
"focus","576","676501","1"
"fullscreenexit","586","685043","1"
"blur","589","687478","1"
"focus","612","721809","1"
"blur","616","725103","1"
"focus","722","894928","1"
