PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,iti
74889,1,1,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,0,NA,NA,NA,NaN,3000
74889,1,2,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg,0,NA,NA,NA,NaN,1500
74889,1,3,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,0,NA,NA,NA,NaN,2000
74889,1,4,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,0,NA,NA,NA,NaN,1000
74889,0,5,1,1,1,gain1,no_gain1,L,C,44,15,body_parts,outdoor_scenes,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,0,NA,NA,NA,chosen,3000
74889,0,6,1,1,0,no_gain2,gain4,E,H,37,23,body_parts,outdoor_scenes,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,0,NA,NA,NA,unchosen,1500
74889,0,7,1,1,0,no_gain6,gain4,F,H,29,35,faces,faces,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,NA,NA,NA,chosen,1000
74889,0,8,1,1,0,no_gain5,gain2,K,D,46,57,body_parts,objects,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,0,NA,NA,NA,chosen,1500
74889,0,9,1,1,1,gain5,no_gain2,I,E,40,56,body_parts,objects,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,0,NA,NA,NA,chosen,1500
74889,0,10,1,1,1,gain5,no_gain4,I,J,40,32,body_parts,faces,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,0,NA,NA,NA,chosen,1000
74889,0,11,1,1,0,no_gain5,gain3,K,G,46,51,body_parts,objects,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,0,NA,NA,NA,chosen,2000
74889,0,12,1,1,0,no_gain4,gain4,J,H,58,23,objects,outdoor_scenes,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,0,NA,NA,NA,unchosen,3000
74889,0,13,1,1,1,gain1,no_gain1,L,C,25,41,faces,body_parts,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,0,NA,NA,NA,unchosen,1000
74889,0,14,1,1,1,gain6,no_gain4,B,J,24,58,faces,objects,Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,NA,NA,NA,unchosen,1000
74889,0,15,1,1,0,no_gain3,gain3,A,G,49,13,objects,outdoor_scenes,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,0,NA,NA,NA,unchosen,1000
