"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","3431","0.0-0.0","23.8.2023, 0:30:40","conditionC","","","","","","","",""
"","survey-text","1","5531","0.0-1.0","23.8.2023, 0:30:40","conditionC","2093.5","{""Q0"":""""}","","","","","",""
"","instructions","2","9677","0.0-2.0","23.8.2023, 0:30:40","conditionC","4144.400000035763","","[{""page_index"":0,""viewing_time"":844},{""page_index"":1,""viewing_time"":711.9000000357628},{""page_index"":2,""viewing_time"":1499.7999999523163},{""page_index"":3,""viewing_time"":1088.2000000476837}]","","","","",""
"","order","3","16560","0.0-3.0","23.8.2023, 0:30:40","conditionC","6880.899999976158","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":3508},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":1017},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":737},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":768}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":3508},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":1017},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":737},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":768}]","",""
"","instructions","4","17976","0.0-4.0","23.8.2023, 0:30:40","conditionC","1415","","[{""page_index"":0,""viewing_time"":1414.699999988079}]","","","","",""
"","order","5","25526","0.0-5.0","23.8.2023, 0:30:40","conditionC","7548.800000011921","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":397,""move_time"":1563},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":978},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":477,""y"":397,""move_time"":1239},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1274},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":1325}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":978},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":477,""y"":397,""move_time"":1239},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1274},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":1325}]","",""
"","html-button-response","6","27015","0.0-6.0","23.8.2023, 0:30:40","conditionC","1486","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","27941","0.0-7.0","23.8.2023, 0:30:40","conditionC","907.5","{""Q0"":""""}","","","","","",""
"","order","8","29113","0.0-8.0","23.8.2023, 0:30:40","conditionC","1171.1000000238419","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","30601","0.0-9.0","23.8.2023, 0:30:40","conditionC","1485.800000011921","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","10","31246","0.0-10.0","23.8.2023, 0:30:40","conditionC","643.5","{""Q0"":""""}","","","","","",""
"","order","11","32381","0.0-11.0","23.8.2023, 0:30:40","conditionC","1133.5","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[]","[]","",""
"","html-button-response","12","33310","0.0-12.0","23.8.2023, 0:30:40","conditionC","926.8000000119209","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","34017","0.0-13.0","23.8.2023, 0:30:40","conditionC","703.8000000119209","{""Q0"":""""}","","","","","",""
"","order","14","36464","0.0-14.0","23.8.2023, 0:30:40","conditionC","2446.600000023842","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[]","[]","",""
"","html-button-response","15","37492","0.0-15.0","23.8.2023, 0:30:40","conditionC","1026.5","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","16","38358","0.0-16.0","23.8.2023, 0:30:40","conditionC","863.8000000119209","{""Q0"":""""}","","","","","",""
"","order","17","44725","0.0-17.0","23.8.2023, 0:30:40","conditionC","6364.899999976158","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":2453},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":1082},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":987},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":832}]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":2453},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":1082},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":987},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":832}]","",""
"","html-button-response","18","45669","0.0-18.0","23.8.2023, 0:30:40","conditionC","943.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","19","46482","0.0-19.0","23.8.2023, 0:30:40","conditionC","811.1999999880791","{""Q0"":""""}","","","","","",""
"","order","20","65390","0.0-20.0","23.8.2023, 0:30:40","conditionC","18905.900000035763","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397,""move_time"":7188},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":5484},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":800,""y"":158,""move_time"":3146},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":639,""y"":397,""move_time"":870},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":800,""y"":397,""move_time"":1420}]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397,""move_time"":7188},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":5484},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":639,""y"":397,""move_time"":870},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":800,""y"":397,""move_time"":1420}]","",""
"","html-button-response","21","66335","0.0-21.0","23.8.2023, 0:30:40","conditionC","943","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","22","67197","0.0-22.0","23.8.2023, 0:30:40","conditionC","860","{""Q0"":""""}","","","","","",""
"","order","23","77485","0.0-23.0","23.8.2023, 0:30:40","conditionC","10286.099999964237","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397,""move_time"":4476},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397,""move_time"":2224},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397,""move_time"":1339},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":800,""y"":397,""move_time"":1350}]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397,""move_time"":4476},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397,""move_time"":2224},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397,""move_time"":1339},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":800,""y"":397,""move_time"":1350}]","",""
"","html-button-response","24","78974","0.0-24.0","23.8.2023, 0:30:40","conditionC","1488","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","25","80139","0.0-25.0","23.8.2023, 0:30:40","conditionC","1163","{""Q0"":""""}","","","","","",""
