"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","2748","0.0-0.0","8/23/2023, 2:29:04 AM","conditionA","","","","","","","","",""
"","survey-text","1","3846","0.0-1.0","8/23/2023, 2:29:04 AM","conditionA","1084.699999988079","{""Q0"":""""}","","","","","","",""
"","instructions","2","18792","0.0-2.0","8/23/2023, 2:29:04 AM","conditionA","14944.199999988079","","[{""page_index"":0,""viewing_time"":920.3999999761581},{""page_index"":1,""viewing_time"":12263.600000023842},{""page_index"":2,""viewing_time"":943.6000000238419},{""page_index"":3,""viewing_time"":815.7999999523163}]","","","","","",""
"","order","3","21133","0.0-3.0","8/23/2023, 2:29:04 AM","conditionA","2338","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","instructions","4","22136","0.0-4.0","8/23/2023, 2:29:04 AM","conditionA","1002.8000000119209","","[{""page_index"":0,""viewing_time"":1002.3999999761581}]","","","","","",""
"","order","5","23128","0.0-5.0","8/23/2023, 2:29:04 AM","conditionA","990","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","html-button-response","6","24809","0.0-6.0","8/23/2023, 2:29:04 AM","conditionA","1677.300000011921","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","7","25519","0.0-7.0","8/23/2023, 2:29:04 AM","conditionA","697.3000000119209","{""Q0"":""""}","","","","","","",""
"","order","8","27069","0.0-8.0","8/23/2023, 2:29:04 AM","conditionA","1549","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","html-button-response","9","28081","0.0-9.0","8/23/2023, 2:29:04 AM","conditionA","1009.6999999880791","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","10","29233","0.0-10.0","8/23/2023, 2:29:04 AM","conditionA","1149.0999999642372","{""Q0"":""""}","","","","","","",""
"","order","11","30752","0.0-11.0","8/23/2023, 2:29:04 AM","conditionA","1518","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","html-button-response","12","31588","0.0-12.0","8/23/2023, 2:29:04 AM","conditionA","834.6000000238419","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","13","32805","0.0-13.0","8/23/2023, 2:29:04 AM","conditionA","1214.5","{""Q0"":""""}","","","","","","",""
"","order","14","34889","0.0-14.0","8/23/2023, 2:29:04 AM","conditionA","2082","","","[""4_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":180,""y"":325,""move_time"":1307}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","1","",""
"","html-button-response","15","35817","0.0-15.0","8/23/2023, 2:29:04 AM","conditionA","926.1999999880791","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","16","37005","0.0-16.0","8/23/2023, 2:29:04 AM","conditionA","1185.5","{""Q0"":""""}","","","","","","",""
"","order","17","38557","0.0-17.0","8/23/2023, 2:29:04 AM","conditionA","1550","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","html-button-response","18","39390","0.0-18.0","8/23/2023, 2:29:04 AM","conditionA","831","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","19","40241","0.0-19.0","8/23/2023, 2:29:04 AM","conditionA","848.5999999642372","{""Q0"":""""}","","","","","","",""
"","order","20","41925","0.0-20.0","8/23/2023, 2:29:04 AM","conditionA","1680","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":180,""y"":325,""move_time"":1162}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","1","",""
"","html-button-response","21","42913","0.0-21.0","8/23/2023, 2:29:04 AM","conditionA","985.3999999761581","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","22","44253","0.0-22.0","8/23/2023, 2:29:04 AM","conditionA","1337.800000011921","{""Q0"":""""}","","","","","","",""
"","order","23","45564","0.0-23.0","8/23/2023, 2:29:04 AM","conditionA","1310","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":19,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":180,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":341,""y"":325},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":503,""y"":325}]","0","",""
"","html-button-response","24","46353","0.0-24.0","8/23/2023, 2:29:04 AM","conditionA","787.3000000119209","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","25","47265","0.0-25.0","8/23/2023, 2:29:04 AM","conditionA","909.6000000238419","{""Q0"":""""}","","","","","","",""
