"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","8507","0.0-0.0","23.8.2023, 2:25:09","conditionC","","","","","","","",""
"","survey-text","1","9769","0.0-1.0","23.8.2023, 2:25:09","conditionC","1257.8999999761581","{""Q0"":""""}","","","","","",""
"","instructions","2","14043","0.0-2.0","23.8.2023, 2:25:09","conditionC","4273.899999976158","","[{""page_index"":0,""viewing_time"":1277.199999988079},{""page_index"":1,""viewing_time"":664},{""page_index"":2,""viewing_time"":1214.3999999761581},{""page_index"":3,""viewing_time"":1117.9000000357628}]","","","","",""
"","order","3","19772","0.0-3.0","23.8.2023, 2:25:09","conditionC","5726.300000011921","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397,""move_time"":2392},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":200,""y"":397,""move_time"":668},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":361,""y"":397,""move_time"":672},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":523,""y"":397,""move_time"":862}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397,""move_time"":2392},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":200,""y"":397,""move_time"":668},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":361,""y"":397,""move_time"":672},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":523,""y"":397,""move_time"":862}]","",""
"","instructions","4","20811","0.0-4.0","23.8.2023, 2:25:09","conditionC","1037.699999988079","","[{""page_index"":0,""viewing_time"":1037.300000011921}]","","","","",""
"","order","5","25652","0.0-5.0","23.8.2023, 2:25:09","conditionC","4839.100000023842","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":39,""y"":397,""move_time"":1678},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":200,""y"":397,""move_time"":972},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":397,""move_time"":756},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":523,""y"":397,""move_time"":787}]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":39,""y"":397,""move_time"":1678},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":200,""y"":397,""move_time"":972},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":397,""move_time"":756},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":523,""y"":397,""move_time"":787}]","",""
"","html-button-response","6","26948","0.0-6.0","23.8.2023, 2:25:09","conditionC","1294.300000011921","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","7","28040","0.0-7.0","23.8.2023, 2:25:09","conditionC","1086.5","{""Q0"":""""}","","","","","",""
"","order","8","31724","0.0-8.0","23.8.2023, 2:25:09","conditionC","3682.099999964237","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":39,""y"":397,""move_time"":972},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":200,""y"":397,""move_time"":636},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":523,""y"":397,""move_time"":677}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":39,""y"":397,""move_time"":972},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":200,""y"":397,""move_time"":636},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":523,""y"":397,""move_time"":677}]","",""
"","html-button-response","9","32572","0.0-9.0","23.8.2023, 2:25:09","conditionC","845.3999999761581","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","10","33624","0.0-10.0","23.8.2023, 2:25:09","conditionC","1049","{""Q0"":""""}","","","","","",""
"","order","11","37878","0.0-11.0","23.8.2023, 2:25:09","conditionC","4250.600000023842","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":39,""y"":397,""move_time"":1111},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":200,""y"":397,""move_time"":582},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":361,""y"":397,""move_time"":729},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":523,""y"":397,""move_time"":641}]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":39,""y"":397,""move_time"":1111},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":200,""y"":397,""move_time"":582},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":361,""y"":397,""move_time"":729},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":523,""y"":397,""move_time"":641}]","",""
"","html-button-response","12","39518","0.0-12.0","23.8.2023, 2:25:09","conditionC","1637.800000011921","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","13","40270","0.0-13.0","23.8.2023, 2:25:09","conditionC","750.7000000476837","{""Q0"":""""}","","","","","",""
"","order","14","44412","0.0-14.0","23.8.2023, 2:25:09","conditionC","4139.699999988079","","","[""4_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":39,""y"":397,""move_time"":1178},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":200,""y"":397,""move_time"":554},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":361,""y"":397,""move_time"":583},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":523,""y"":397,""move_time"":575}]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":39,""y"":397,""move_time"":1178},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":200,""y"":397,""move_time"":554},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":361,""y"":397,""move_time"":583},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":523,""y"":397,""move_time"":575}]","",""
"","html-button-response","15","45534","0.0-15.0","23.8.2023, 2:25:09","conditionC","1120","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","16","46319","0.0-16.0","23.8.2023, 2:25:09","conditionC","781.8999999761581","{""Q0"":""""}","","","","","",""
"","order","17","47615","0.0-17.0","23.8.2023, 2:25:09","conditionC","1294.6000000238419","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[]","[]","",""
"","html-button-response","18","49002","0.0-18.0","23.8.2023, 2:25:09","conditionC","1386.199999988079","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","19","49850","0.0-19.0","23.8.2023, 2:25:09","conditionC","845.1000000238419","{""Q0"":""""}","","","","","",""
"","order","20","51039","0.0-20.0","23.8.2023, 2:25:09","conditionC","1187.5","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[]","[]","",""
"","html-button-response","21","52014","0.0-21.0","23.8.2023, 2:25:09","conditionC","973.3999999761581","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","22","52782","0.0-22.0","23.8.2023, 2:25:09","conditionC","766.3999999761581","{""Q0"":""""}","","","","","",""
"","order","23","54130","0.0-23.0","23.8.2023, 2:25:09","conditionC","1346.8999999761581","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[]","[]","",""
"","html-button-response","24","55043","0.0-24.0","23.8.2023, 2:25:09","conditionC","910.7000000476837","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","25","55682","0.0-25.0","23.8.2023, 2:25:09","conditionC","637.9000000357628","{""Q0"":""""}","","","","","",""
"","order","26","56698","0.0-26.0","23.8.2023, 2:25:09","conditionC","1014.2000000476837","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[]","[]","",""
"","html-button-response","27","57607","0.0-27.0","23.8.2023, 2:25:09","conditionC","906.6999999880791","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","28","58278","0.0-28.0","23.8.2023, 2:25:09","conditionC","669.8000000119209","{""Q0"":""""}","","","","","",""
"","order","29","59830","0.0-29.0","23.8.2023, 2:25:09","conditionC","1550.5","","","[""4_5"",""4_6"",""4_7"",""4_8""]","[]","[]","",""
"","html-button-response","30","60763","0.0-30.0","23.8.2023, 2:25:09","conditionC","930.8000000119209","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","31","61483","0.0-31.0","23.8.2023, 2:25:09","conditionC","717","{""Q0"":""""}","","","","","",""
"","survey-text","32","62090","0.0-32.0","23.8.2023, 2:25:09","conditionC","605.5","{""Q0"":""""}","","","","","",""
"","instructions","33","63375","0.0-33.0","23.8.2023, 2:25:09","conditionC","1284.0999999642372","","[{""page_index"":0,""viewing_time"":1283.5999999642372}]","","","","",""
