"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","responses","tiles_id","moves","final_locations","move_time","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":1073},{""page_index"":1,""viewing_time"":239.79999999981374},{""page_index"":2,""viewing_time"":256.09999999962747}]","1569.199999999255","instructions","0","1571","0.0-0.0","18.8.2023, 15:20:31","conditionB","","","","","","",""
"","2177.9000000003725","survey-text","1","3751","0.0-1.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""21""}","","","","","",""
"[{""page_index"":0,""viewing_time"":911.0999999996275},{""page_index"":1,""viewing_time"":624},{""page_index"":2,""viewing_time"":1236}]","2771.2999999998137","instructions","2","6523","0.0-2.0","18.8.2023, 15:20:31","conditionB","","","","","","",""
"","3603.2000000001863","order","3","10127","0.0-3.0","18.8.2023, 15:20:31","conditionB","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":338,""move_time"":1014},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":338,""move_time"":654},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":338,""move_time"":574},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":338,""move_time"":564}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":338,""move_time"":1014},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":338,""move_time"":654},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":338,""move_time"":574},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":338,""move_time"":564}]","0","",""
"[{""page_index"":0,""viewing_time"":967.5}]","967.6000000005588","instructions","4","11095","0.0-4.0","18.8.2023, 15:20:31","conditionB","","","","","","",""
"","6151.5","order","5","17247","0.0-5.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":338,""move_time"":968},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":609},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":528},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":338,""move_time"":577},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":100,""move_time"":526},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":100,""move_time"":612},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":100,""move_time"":721},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":100,""move_time"":769}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":338,""move_time"":968},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":609},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":528},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":338,""move_time"":577}]","0","",""
"","1107.2000000001863","html-button-response","6","18356","0.0-6.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","654.2000000001863","survey-text","7","19011","0.0-7.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","3955","order","8","22967","0.0-8.0","18.8.2023, 15:20:31","conditionB","","[""7_1"",""7_2"",""7_4"",""7_3""]","[{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":338,""move_time"":915},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":338,""move_time"":643},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":338,""move_time"":659},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":800,""y"":338,""move_time"":783}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":338,""move_time"":659},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":338,""move_time"":643},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":338,""move_time"":915},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":800,""y"":338,""move_time"":783}]","0","",""
"","995.5","html-button-response","9","23963","0.0-9.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
