"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","2362","0.0-0.0","23.8.2023, 13:07:33","conditionA","","","","","","","","",""
"","survey-text","1","3717","0.0-1.0","23.8.2023, 13:07:33","conditionA","1351.5999999642372","{""Q0"":""""}","","","","","","",""
"","instructions","2","8873","0.0-2.0","23.8.2023, 13:07:33","conditionA","5154.900000035763","","[{""page_index"":0,""viewing_time"":1078.300000011921},{""page_index"":1,""viewing_time"":1360.1000000238419},{""page_index"":2,""viewing_time"":1380},{""page_index"":3,""viewing_time"":1336}]","","","","","",""
"","order","3","19081","0.0-3.0","23.8.2023, 13:07:33","conditionA","10206","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":2735},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":1029},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":723},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":1532},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":639,""y"":397,""move_time"":1084},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":960},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1071}]","[{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":800,""y"":397}]","7","",""
"","instructions","4","20553","0.0-4.0","23.8.2023, 13:07:33","conditionA","1471.1000000238419","","[{""page_index"":0,""viewing_time"":1470.800000011921}]","","","","","",""
"","order","5","40460","0.0-5.0","23.8.2023, 13:07:33","conditionA","19907","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":316,""y"":397,""move_time"":1288},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":1457},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":915},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":1063},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":397,""move_time"":1714},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":477,""y"":397,""move_time"":1108},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":639,""y"":397,""move_time"":912},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":6218},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":3128}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397}]","9","",""
"","html-button-response","6","41857","0.0-6.0","23.8.2023, 13:07:33","conditionA","1395","","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","7","43265","0.0-7.0","23.8.2023, 13:07:33","conditionA","1400.5","{""Q0"":""""}","","","","","","",""
"","order","8","48945","0.0-8.0","23.8.2023, 13:07:33","conditionA","5679","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":397,""move_time"":2648},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397,""move_time"":729},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":397,""move_time"":703},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":397,""move_time"":821}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","9","50289","0.0-9.0","23.8.2023, 13:07:33","conditionA","1343.0999999642372","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","10","54976","0.0-10.0","23.8.2023, 13:07:33","conditionA","4686.199999988079","{""Q0"":""""}","","","","","","",""
"","order","11","66592","0.0-11.0","23.8.2023, 13:07:33","conditionA","11615","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":316,""y"":397,""move_time"":2680},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":477,""y"":397,""move_time"":1860},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":639,""y"":397,""move_time"":704},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":800,""y"":397,""move_time"":881},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":800,""y"":397,""move_time"":880},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":2499}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":800,""y"":397}]","6","",""
"","html-button-response","12","67776","0.0-12.0","23.8.2023, 13:07:33","conditionA","1183.0999999642372","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","68581","0.0-13.0","23.8.2023, 13:07:33","conditionA","803.2000000476837","{""Q0"":""""}","","","","","","",""
"","order","14","73969","0.0-14.0","23.8.2023, 13:07:33","conditionA","5387","","","[""4_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":316,""y"":397,""move_time"":1866},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":477,""y"":397,""move_time"":741},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397,""move_time"":1056},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397,""move_time"":882}]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","15","74853","0.0-15.0","23.8.2023, 13:07:33","conditionA","883.1000000238419","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","16","75933","0.0-16.0","23.8.2023, 13:07:33","conditionA","1078","{""Q0"":""""}","","","","","","",""
"","order","17","81404","0.0-17.0","23.8.2023, 13:07:33","conditionA","5471","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":1663},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":754},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":704},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":820}]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","18","82512","0.0-18.0","23.8.2023, 13:07:33","conditionA","1107.4000000357628","","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","19","83553","0.0-19.0","23.8.2023, 13:07:33","conditionA","1038.800000011921","{""Q0"":""""}","","","","","","",""
"","order","20","100976","0.0-20.0","23.8.2023, 13:07:33","conditionA","17422","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":316,""y"":397,""move_time"":1403},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":594},{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":477,""y"":397,""move_time"":714},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":639,""y"":397,""move_time"":1029},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":800,""y"":397,""move_time"":832},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":800,""y"":397,""move_time"":751},{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":477,""y"":158,""move_time"":814},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":316,""y"":158,""move_time"":735},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":316,""y"":158,""move_time"":1212},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":800,""y"":158,""move_time"":965},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":316,""y"":397,""move_time"":1201},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":477,""y"":397,""move_time"":174},{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397,""move_time"":1111},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":2077},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":800,""y"":397,""move_time"":2086},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":639,""y"":397,""move_time"":590}]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":800,""y"":397}]","16","",""
"","html-button-response","21","102513","0.0-21.0","23.8.2023, 13:07:33","conditionA","1535.300000011921","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","22","103185","0.0-22.0","23.8.2023, 13:07:33","conditionA","669.8000000119209","{""Q0"":""""}","","","","","","",""
"","order","23","109521","0.0-23.0","23.8.2023, 13:07:33","conditionA","6335","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397,""move_time"":2671},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397,""move_time"":1142},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":800,""y"":397,""move_time"":1021},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397,""move_time"":785}]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","24","110501","0.0-24.0","23.8.2023, 13:07:33","conditionA","978.7000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","25","112293","0.0-25.0","23.8.2023, 13:07:33","conditionA","1790.5","{""Q0"":""""}","","","","","","",""
"","order","26","117102","0.0-26.0","23.8.2023, 13:07:33","conditionA","4808","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[{""src"":""http://34.125.186.26/images/6_5.jpg"",""x"":316,""y"":397,""move_time"":1384},{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":477,""y"":397,""move_time"":672},{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":639,""y"":397,""move_time"":880},{""src"":""http://34.125.186.26/images/6_8.jpg"",""x"":800,""y"":397,""move_time"":818}]","[{""src"":""http://34.125.186.26/images/6_5.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/6_8.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","27","122116","0.0-27.0","23.8.2023, 13:07:33","conditionA","5013.900000035763","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","28","122820","0.0-28.0","23.8.2023, 13:07:33","conditionA","702.5","{""Q0"":""""}","","","","","","",""
