"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","stimulus","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","549","3127.900000035763","2578.900000035763","order","0","2584","0.0-0.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3129.5","3319.900000035763","190.4000000357628","order","1","2776","0.0-1.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3320.900000035763","3495.699999988079","174.79999995231628","order","2","2952","0.0-2.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3496.699999988079","3655.699999988079","159","order","3","3111","0.0-3.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3656.400000035763","3831.800000011921","175.39999997615814","order","4","3287","0.0-4.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3832.5","4008.300000011921","175.80000001192093","order","5","3464","0.0-5.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4009.600000023842","4184.100000023842","174.5","order","6","3640","0.0-6.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4185.100000023842","4376","190.89999997615814","order","7","3832","0.0-7.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4376.900000035763","4568.199999988079","191.29999995231628","order","8","4024","0.0-8.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4569.300000011921","4760.100000023842","190.80000001192093","order","9","4216","0.0-9.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4760.800000011921","4952.400000035763","191.60000002384186","order","10","4408","0.0-10.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4953.300000011921","5148.100000023842","194.80000001192093","order","11","4604","0.0-11.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5148.699999988079","5355.900000035763","207.20000004768372","order","12","4812","0.0-12.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5356.900000035763","5548","191.0999999642372","order","13","5004","0.0-13.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5549","5756.100000023842","207.10000002384186","order","14","5212","0.0-14.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5756.900000035763","5964.100000023842","207.19999998807907","order","15","5420","0.0-15.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5965","6188.300000011921","223.30000001192093","order","16","5644","0.0-16.0","1688673365319","conditionA","",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6189.600000023842","6396.100000023842","206.5","order","17","5852","0.0-17.0","1688673365319","conditionA","",""
"","","","","","1198.4000000357628","html-button-response","18","7052","0.0-18.0","1688673365319","conditionA","<p>How difficult was it to order the pictures?</p>","2"
