"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2955","0.0-0.0","23.8.2023, 0:21:16","conditionA","","","","","","","",""
"","survey-text","1","5095","0.0-1.0","23.8.2023, 0:21:16","conditionA","2134.199999988079","{""Q0"":""""}","","","","","",""
"","instructions","2","8906","0.0-2.0","23.8.2023, 0:21:16","conditionA","3810.599999964237","","[{""page_index"":0,""viewing_time"":750.2999999523163},{""page_index"":1,""viewing_time"":564.1000000238419},{""page_index"":2,""viewing_time"":1583.3999999761581},{""page_index"":3,""viewing_time"":912.2000000476837}]","","","","",""
"","order","3","13138","0.0-3.0","23.8.2023, 0:21:16","conditionA","4230.300000011921","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":1129},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":817},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":673},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":821}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":1129},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":817},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":673},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":821}]","",""
"","instructions","4","14273","0.0-4.0","23.8.2023, 0:21:16","conditionA","1135.300000011921","","[{""page_index"":0,""viewing_time"":1134.8999999761581}]","","","","",""
"","order","5","35970","0.0-5.0","23.8.2023, 0:21:16","conditionA","21695","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":316,""y"":397,""move_time"":974},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":638},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":637},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":867},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":3444},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":9224},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1344},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":2341}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":3444},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":2341},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1344},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":637}]","",""
"","html-button-response","6","37226","0.0-6.0","23.8.2023, 0:21:16","conditionA","1254.800000011921","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","38238","0.0-7.0","23.8.2023, 0:21:16","conditionA","1007.9000000357628","{""Q0"":""""}","","","","","",""
"","order","8","39918","0.0-8.0","23.8.2023, 0:21:16","conditionA","1679.699999988079","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","40994","0.0-9.0","23.8.2023, 0:21:16","conditionA","1074.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","0"
