"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2107","0.0-0.0","4.9.2023, 15:30:55","conditionS","","","","",""
"","instructions","1","6817","0.0-1.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":892.7999999970198},{""page_index"":1,""viewing_time"":1092.1000000014901},{""page_index"":2,""viewing_time"":815.7999999970198},{""page_index"":3,""viewing_time"":560.9000000059605},{""page_index"":4,""viewing_time"":495},{""page_index"":5,""viewing_time"":852.1999999955297}]","4709.29999999702","","",""
"","image-button-response","2","8426","0.0-2.0","4.9.2023, 15:30:55","conditionS","","1606.2999999970198","images/with_no_order_2.jpeg","1",""
"","instructions","3","9537","0.0-3.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":1110.7999999970198}]","1111","","",""
"","image-button-response","4","14137","0.0-4.0","4.9.2023, 15:30:55","conditionS","","4598.60000000149","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","15161","0.0-5.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":1023.6999999955297}]","1023.8999999985099","","",""
"","image-button-response","6","16653","0.0-6.0","4.9.2023, 15:30:55","conditionS","","1490.5","images/with_order_2.jpeg","0",""
"","instructions","7","17613","0.0-7.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":959.2000000029802}]","959.6000000014901","","",""
"","instructions","8","18445","0.0-8.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":830.5}]","830.7000000029802","","",""
"","image-button-response","9","20713","0.0-9.0","4.9.2023, 15:30:55","conditionS","","2266.8000000044703","images/memory_example_1.jpg","0",""
"","instructions","10","23053","0.0-10.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":981.5},{""page_index"":1,""viewing_time"":1357.6000000014901}]","2339.4000000059605","","",""
"","image-button-response","11","24953","0.0-11.0","4.9.2023, 15:30:55","conditionS","","1898.2999999970198","images/scrambled_22.jpeg","2",""
"","image-button-response","12","26809","0.0-12.0","4.9.2023, 15:30:55","conditionS","","1855.1000000014901","images/order_33.jpeg","0",""
"","image-button-response","13","31377","0.0-13.0","4.9.2023, 15:30:55","conditionS","","4566.70000000298","images/order_22.jpeg","0",""
"","image-button-response","14","40845","0.0-14.0","4.9.2023, 15:30:55","conditionS","","9466.19999999553","images/memory_7.png","1",""
"","image-button-response","15","44061","0.0-15.0","4.9.2023, 15:30:55","conditionS","","3215.39999999851","images/memory_8.png","1",""
"","image-button-response","16","47773","0.0-16.0","4.9.2023, 15:30:55","conditionS","","3710.5","images/memory_9.png","0",""
"","image-button-response","17","52617","0.0-17.0","4.9.2023, 15:30:55","conditionS","","4843","images/scrambled_11.jpeg","2",""
"","image-button-response","18","55437","0.0-18.0","4.9.2023, 15:30:55","conditionS","","2818.5999999940395","images/order_11.jpeg","0",""
"","image-button-response","19","57841","0.0-19.0","4.9.2023, 15:30:55","conditionS","","2402.4000000059605","images/non_order_11.jpeg","1",""
"","image-button-response","20","61546","0.0-20.0","4.9.2023, 15:30:55","conditionS","","3702.7999999970198","images/memory_10.png","1",""
"","image-button-response","21","64302","0.0-21.0","4.9.2023, 15:30:55","conditionS","","2754","images/memory_11.png","0",""
"","image-button-response","22","75538","0.0-22.0","4.9.2023, 15:30:55","conditionS","","11235.20000000298","images/memory_12.png","1",""
"","image-button-response","23","78014","0.0-23.0","4.9.2023, 15:30:55","conditionS","","2474.39999999851","images/order_44.jpeg","0",""
"","image-button-response","24","82510","0.0-24.0","4.9.2023, 15:30:55","conditionS","","4494.4000000059605","images/non_order_33.jpeg","1",""
"","image-button-response","25","85082","0.0-25.0","4.9.2023, 15:30:55","conditionS","","2571.39999999851","images/order_55.jpeg","0",""
"","image-button-response","26","90378","0.0-26.0","4.9.2023, 15:30:55","conditionS","","5294.70000000298","images/memory_5.png","0",""
"","image-button-response","27","93614","0.0-27.0","4.9.2023, 15:30:55","conditionS","","3234.60000000149","images/memory_13.png","1",""
"","image-button-response","28","96586","0.0-28.0","4.9.2023, 15:30:55","conditionS","","2971.2000000029802","images/memory_1.png","0",""
"","survey-text","29","99991","0.0-29.0","4.9.2023, 15:30:55","conditionS","","3397.2999999970198","","","{""Q0"":""iddo""}"
"","survey-text","30","102618","0.0-30.0","4.9.2023, 15:30:55","conditionS","","2622","","","{""Q0"":""iddo""}"
"","instructions","31","103519","0.0-31.0","4.9.2023, 15:30:55","conditionS","[{""page_index"":0,""viewing_time"":899.8999999985099}]","900.1999999955297","","",""
