"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3764","0.0-0.0","9/1/2023, 9:25:00 AM","conditionO","","","","","","","","",""
"","instructions","1","15158","0.0-1.0","9/1/2023, 9:25:00 AM","conditionO","[{""page_index"":0,""viewing_time"":1587},{""page_index"":1,""viewing_time"":1570},{""page_index"":2,""viewing_time"":6742},{""page_index"":3,""viewing_time"":1486}]","11386","","","","","","",""
"","order","2","29153","0.0-2.0","9/1/2023, 9:25:00 AM","conditionO","","13992","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":476,""y"":486,""move_time"":6962},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":638,""y"":486,""move_time"":2361},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":800,""y"":486,""move_time"":2155},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":962,""y"":486,""move_time"":1198}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":476,""y"":486},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":638,""y"":486},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":800,""y"":486},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":962,""y"":486}]","4","","",""
"","instructions","3","30489","0.0-3.0","9/1/2023, 9:25:00 AM","conditionO","[{""page_index"":0,""viewing_time"":1333}]","1334","","","","","","",""
"","order","4","36471","0.0-4.0","9/1/2023, 9:25:00 AM","conditionO","","5976","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":638,""y"":486,""move_time"":1905},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":800,""y"":486,""move_time"":1064},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":476,""y"":486,""move_time"":880},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":962,""y"":486,""move_time"":939}]","[{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":476,""y"":486},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":638,""y"":486},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":800,""y"":486},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":962,""y"":486}]","4","","",""
"","html-button-response","5","38151","0.0-5.0","9/1/2023, 9:25:00 AM","conditionO","","1676","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","6","41650","0.0-6.0","9/1/2023, 9:25:00 AM","conditionO","","3483","","","","","","","{""Q0"":""well""}"
"","order","7","49458","0.0-7.0","9/1/2023, 9:25:00 AM","conditionO","","7805","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":476,""y"":486,""move_time"":2260},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":476,""y"":486,""move_time"":1115},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":800,""y"":486,""move_time"":656},{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":962,""y"":486,""move_time"":1216},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":638,""y"":486,""move_time"":1781}]","[{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":476,""y"":486},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":638,""y"":486},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":800,""y"":486},{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":962,""y"":486}]","5","","",""
"","html-button-response","8","50836","0.0-8.0","9/1/2023, 9:25:00 AM","conditionO","","1376","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","9","52777","0.0-9.0","9/1/2023, 9:25:00 AM","conditionO","","1932","","","","","","","{""Q0"":""well""}"
