"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","400879","0.0-0.0","9/4/2023, 5:16:28 PM","conditionS","","","","",""
"","instructions","1","416935","0.0-1.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":1560.5999999996275},{""page_index"":1,""viewing_time"":5604.5999999996275},{""page_index"":2,""viewing_time"":2956.5999999996275},{""page_index"":3,""viewing_time"":1848.9000000003725},{""page_index"":4,""viewing_time"":2566.5},{""page_index"":5,""viewing_time"":1511.9000000003725}]","16053.400000000373","","",""
"","image-button-response","2","419593","0.0-2.0","9/4/2023, 5:16:28 PM","conditionS","","2649.89999999851","images/with_no_order_2.jpeg","1",""
"","instructions","3","422074","0.0-3.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":2477.699999999255}]","2478.699999999255","","",""
"","image-button-response","4","424112","0.0-4.0","9/4/2023, 5:16:28 PM","conditionS","","2032.4000000003725","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","425837","0.0-5.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":1721.7999999988824}]","1722.5999999996275","","",""
"","image-button-response","6","427509","0.0-6.0","9/4/2023, 5:16:28 PM","conditionS","","1667.699999999255","images/with_order_2.jpeg","0",""
"","instructions","7","428555","0.0-7.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":1040.7999999988824}]","1044","","",""
"","instructions","8","430363","0.0-8.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":1804.800000000745}]","1806.5999999996275","","",""
"","image-button-response","9","451879","0.0-9.0","9/4/2023, 5:16:28 PM","conditionS","","21509.300000000745","images/memory_example_1.jpg","1",""
"","instructions","10","454509","0.0-10.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":1366.699999999255},{""page_index"":1,""viewing_time"":1260.1000000014901}]","2628","","",""
"","image-button-response","11","461699","0.0-11.0","9/4/2023, 5:16:28 PM","conditionS","","7184.5","images/scrambled_22.jpeg","2",""
"","image-button-response","12","467635","0.0-12.0","9/4/2023, 5:16:28 PM","conditionS","","5930.5999999996275","images/order_33.jpeg","0",""
"","image-button-response","13","473102","0.0-13.0","9/4/2023, 5:16:28 PM","conditionS","","5461.799999998882","images/order_22.jpeg","0",""
"","image-button-response","14","487693","0.0-14.0","9/4/2023, 5:16:28 PM","conditionS","","14585.700000001118","images/memory_7.png","1",""
"","image-button-response","15","492515","0.0-15.0","9/4/2023, 5:16:28 PM","conditionS","","4817.0999999996275","images/memory_8.png","0",""
"","image-button-response","16","552220","0.0-16.0","9/4/2023, 5:16:28 PM","conditionS","","59702.5","images/memory_9.png","0",""
"","image-button-response","17","561580","0.0-17.0","9/4/2023, 5:16:28 PM","conditionS","","9355.099999999627","images/scrambled_11.jpeg","2",""
"","image-button-response","18","563422","0.0-18.0","9/4/2023, 5:16:28 PM","conditionS","","1838","images/order_11.jpeg","0",""
"","image-button-response","19","567031","0.0-19.0","9/4/2023, 5:16:28 PM","conditionS","","3603.300000000745","images/non_order_11.jpeg","1",""
"","image-button-response","20","577001","0.0-20.0","9/4/2023, 5:16:28 PM","conditionS","","9964.400000000373","images/memory_10.png","1",""
"","image-button-response","21","580547","0.0-21.0","9/4/2023, 5:16:28 PM","conditionS","","3541.7999999988824","images/memory_11.png","0",""
"","image-button-response","22","584037","0.0-22.0","9/4/2023, 5:16:28 PM","conditionS","","3487","images/memory_12.png","1",""
"","image-button-response","23","588908","0.0-23.0","9/4/2023, 5:16:28 PM","conditionS","","4866.300000000745","images/order_44.jpeg","0",""
"","image-button-response","24","591702","0.0-24.0","9/4/2023, 5:16:28 PM","conditionS","","2789.60000000149","images/non_order_33.jpeg","0",""
"","image-button-response","25","594125","0.0-25.0","9/4/2023, 5:16:28 PM","conditionS","","2418.699999999255","images/order_55.jpeg","0",""
"","image-button-response","26","615183","0.0-26.0","9/4/2023, 5:16:28 PM","conditionS","","21055.299999998882","images/memory_5.png","1",""
"","image-button-response","27","617227","0.0-27.0","9/4/2023, 5:16:28 PM","conditionS","","2038.699999999255","images/memory_13.png","1",""
"","image-button-response","28","622013","0.0-28.0","9/4/2023, 5:16:28 PM","conditionS","","4781.39999999851","images/memory_1.png","0",""
"","survey-text","29","694942","0.0-29.0","9/4/2023, 5:16:28 PM","conditionS","","72917.5","","","{""Q0"":""30""}"
"","survey-text","30","700308","0.0-30.0","9/4/2023, 5:16:28 PM","conditionS","","5355.5","","","{""Q0"":""Female""}"
"","instructions","31","747473","0.0-31.0","9/4/2023, 5:16:28 PM","conditionS","[{""page_index"":0,""viewing_time"":47161.90000000037}]","47162.90000000037","","",""
