"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","8732","0.0-0.0","23.8.2023, 14:21:03","conditionO","","","","","","","","",""
"","survey-text","1","9882","0.0-1.0","23.8.2023, 14:21:03","conditionO","1140","{""Q0"":""""}","","","","","","",""
"","instructions","2","14810","0.0-2.0","23.8.2023, 14:21:03","conditionO","4927.699999988079","","[{""page_index"":0,""viewing_time"":2095.399999976158},{""page_index"":1,""viewing_time"":640.1000000238419},{""page_index"":2,""viewing_time"":1233.699999988079},{""page_index"":3,""viewing_time"":958.0999999642372}]","","","","","",""
"","order","3","20855","0.0-3.0","23.8.2023, 14:21:03","conditionO","6043","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397,""move_time"":1089},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":361,""y"":397,""move_time"":616},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":200,""y"":397,""move_time"":962},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":523,""y"":397,""move_time"":2388}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":523,""y"":397}]","4","",""
"","instructions","4","21878","0.0-4.0","23.8.2023, 14:21:03","conditionO","1023","","[{""page_index"":0,""viewing_time"":1022.7000000476837}]","","","","","",""
"","order","5","27535","0.0-5.0","23.8.2023, 14:21:03","conditionO","5655","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":39,""y"":397,""move_time"":1429},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":397,""move_time"":677},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":200,""y"":397,""move_time"":814},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":523,""y"":397,""move_time"":1569}]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":523,""y"":397}]","4","",""
"","html-button-response","6","28414","0.0-6.0","23.8.2023, 14:21:03","conditionO","877.1000000238419","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","7","29279","0.0-7.0","23.8.2023, 14:21:03","conditionO","860","{""Q0"":""""}","","","","","","",""
"","order","8","33159","0.0-8.0","23.8.2023, 14:21:03","conditionO","3879","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":397,""move_time"":1158},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":200,""y"":397,""move_time"":818},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":39,""y"":397,""move_time"":1041}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","3","",""
"","html-button-response","9","34039","0.0-9.0","23.8.2023, 14:21:03","conditionO","878.8000000119209","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
