"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","2572","0.0-0.0","9/1/2023, 9:31:02 PM","conditionO","","","","","","","","",""
"","instructions","1","10664","0.0-1.0","9/1/2023, 9:31:02 PM","conditionO","[{""page_index"":0,""viewing_time"":1470},{""page_index"":1,""viewing_time"":2644},{""page_index"":2,""viewing_time"":2875},{""page_index"":3,""viewing_time"":1103}]","8092","","","","","","",""
"","order","2","20706","0.0-2.0","9/1/2023, 9:31:02 PM","conditionO","","10042","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":77,""y"":394,""move_time"":6003},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":238,""y"":394,""move_time"":1298},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":400,""y"":394,""move_time"":1144},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":562,""y"":394,""move_time"":879}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":77,""y"":394},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":238,""y"":394},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":400,""y"":394},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":562,""y"":394}]","4","","",""
"","instructions","3","21950","0.0-3.0","9/1/2023, 9:31:02 PM","conditionO","[{""page_index"":0,""viewing_time"":1242}]","1242","","","","","","",""
"","order","4","33002","0.0-4.0","9/1/2023, 9:31:02 PM","conditionO","","11053","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":77,""y"":394,""move_time"":4684},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":77,""y"":394,""move_time"":2720},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":238,""y"":394,""move_time"":1212},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":400,""y"":394,""move_time"":825},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":562,""y"":394,""move_time"":762}]","[{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":77,""y"":394},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":238,""y"":394},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":400,""y"":394},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":562,""y"":394}]","5","","",""
"","html-button-response","5","34449","0.0-5.0","9/1/2023, 9:31:02 PM","conditionO","","1446","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","6","42510","0.0-6.0","9/1/2023, 9:31:02 PM","conditionO","","8055","","","","","","","{""Q0"":""It looked right""}"
"","order","7","54418","0.0-7.0","9/1/2023, 9:31:02 PM","conditionO","","11907","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":77,""y"":394,""move_time"":7301},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":238,""y"":394,""move_time"":1211},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":400,""y"":394,""move_time"":1392},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":562,""y"":394,""move_time"":1189}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":77,""y"":394},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":238,""y"":394},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":400,""y"":394},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":562,""y"":394}]","4","","",""
"","html-button-response","8","55653","0.0-8.0","9/1/2023, 9:31:02 PM","conditionO","","1234","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","9","76469","0.0-9.0","9/1/2023, 9:31:02 PM","conditionO","","20815","","","","","","","{""Q0"":""It looked right""}"
