"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3769","0.0-0.0","9/1/2023, 10:41:15 PM","conditionO","","","","","","","","",""
"","instructions","1","35056","0.0-1.0","9/1/2023, 10:41:15 PM","conditionO","[{""page_index"":0,""viewing_time"":1345.5999999940395},{""page_index"":1,""viewing_time"":10026.600000023842},{""page_index"":2,""viewing_time"":18281.19999998808},{""page_index"":3,""viewing_time"":1631.800000011921}]","31285.80000001192","","","","","","",""
"","order","2","71795","0.0-2.0","9/1/2023, 10:41:15 PM","conditionO","","36739","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":356,""y"":421,""move_time"":29471},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":518,""y"":421,""move_time"":1514},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":680,""y"":421,""move_time"":1534},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":842,""y"":421,""move_time"":1460}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":356,""y"":421},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":518,""y"":421},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":680,""y"":421},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":842,""y"":421}]","4","","",""
"","instructions","3","73993","0.0-3.0","9/1/2023, 10:41:15 PM","conditionO","[{""page_index"":0,""viewing_time"":2197.0999999940395}]","2197.399999976158","","","","","","",""
"","order","4","93155","0.0-4.0","9/1/2023, 10:41:15 PM","conditionO","","19161","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":356,""y"":421,""move_time"":12789},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":518,""y"":421,""move_time"":3264},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":680,""y"":421,""move_time"":1136},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":842,""y"":421,""move_time"":998}]","[{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":356,""y"":421},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":518,""y"":421},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":680,""y"":421},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":842,""y"":421}]","4","","",""
"","html-button-response","5","95576","0.0-5.0","9/1/2023, 10:41:15 PM","conditionO","","2419","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","6","109739","0.0-6.0","9/1/2023, 10:41:15 PM","conditionO","","14156.700000017881","","","","","","","{""Q0"":""Kitty goes to bed, reads book, and then sleeps""}"
"","order","7","140179","0.0-7.0","9/1/2023, 10:41:15 PM","conditionO","","30439","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":356,""y"":421,""move_time"":10057},{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":356,""y"":182,""move_time"":1910},{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":356,""y"":421,""move_time"":13755},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":518,""y"":421,""move_time"":1679},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":680,""y"":421,""move_time"":1090},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":842,""y"":421,""move_time"":1276}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":356,""y"":421},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":518,""y"":421},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":680,""y"":421},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":842,""y"":421}]","6","","",""
"","html-button-response","8","141625","0.0-8.0","9/1/2023, 10:41:15 PM","conditionO","","1444.8999999761581","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","9","163007","0.0-9.0","9/1/2023, 10:41:15 PM","conditionO","","21380.59999999404","","","","","","","{""Q0"":""Raining. Finds an umbrella. Takes it. Opens it. Goes out""}"
