"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2699","0.0-0.0","9/8/2023, 6:58:42 PM","conditionO","","","","",""
"","instructions","1","23633","0.0-1.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":811.4000000953674},{""page_index"":1,""viewing_time"":7913.200000047684},{""page_index"":2,""viewing_time"":2803.5999999046326},{""page_index"":3,""viewing_time"":1727.7999999523163},{""page_index"":4,""viewing_time"":2025.2000000476837},{""page_index"":5,""viewing_time"":5651.900000095367}]","20933.300000190735","","",""
"","image-button-response","2","26755","0.0-2.0","9/8/2023, 6:58:42 PM","conditionO","","3121.5999999046326","images/with_no_order_2.jpeg","1",""
"","instructions","3","29760","0.0-3.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":3005.0999999046326}]","3005.2000000476837","","",""
"","image-button-response","4","31595","0.0-4.0","9/8/2023, 6:58:42 PM","conditionO","","1833.9000000953674","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","33316","0.0-5.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":1721.1000001430511}]","1721.2999999523163","","",""
"","image-button-response","6","34657","0.0-6.0","9/8/2023, 6:58:42 PM","conditionO","","1340.2000000476837","images/with_order_2.jpeg","0",""
"","instructions","7","35816","0.0-7.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":1158.7999999523163}]","1159","","",""
"","instructions","8","38274","0.0-8.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":2457.5}]","2457.5999999046326","","",""
"","image-button-response","9","46603","0.0-9.0","9/8/2023, 6:58:42 PM","conditionO","","8328","images/memory_example_1.jpg","0",""
"","instructions","10","50080","0.0-10.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":1936.8999998569489},{""page_index"":1,""viewing_time"":1540.1000001430511}]","3477.0999999046326","","",""
"","image-button-response","11","59192","0.0-11.0","9/8/2023, 6:58:42 PM","conditionO","","9111.600000143051","images/scrambled_22.jpeg","2",""
"","image-button-response","12","65172","0.0-12.0","9/8/2023, 6:58:42 PM","conditionO","","5978.700000047684","images/order_33.jpeg","0",""
"","image-button-response","13","70983","0.0-13.0","9/8/2023, 6:58:42 PM","conditionO","","5811.200000047684","images/order_22.jpeg","0",""
"","image-button-response","14","76357","0.0-14.0","9/8/2023, 6:58:42 PM","conditionO","","5372.599999904633","images/memory_7.png","1",""
"","image-button-response","15","83852","0.0-15.0","9/8/2023, 6:58:42 PM","conditionO","","7494.900000095367","images/memory_8.png","1",""
"","image-button-response","16","89598","0.0-16.0","9/8/2023, 6:58:42 PM","conditionO","","5745.900000095367","images/memory_9.png","0",""
"","image-button-response","17","95611","0.0-17.0","9/8/2023, 6:58:42 PM","conditionO","","6012.299999952316","images/order_11.jpeg","0",""
"","image-button-response","18","110590","0.0-18.0","9/8/2023, 6:58:42 PM","conditionO","","14978.399999856949","images/scrambled_11.jpeg","1",""
"","image-button-response","19","120942","0.0-19.0","9/8/2023, 6:58:42 PM","conditionO","","10351.200000047684","images/non_order_11.jpeg","1",""
"","image-button-response","20","126680","0.0-20.0","9/8/2023, 6:58:42 PM","conditionO","","5737.100000143051","images/memory_11.png","0",""
"","image-button-response","21","131529","0.0-21.0","9/8/2023, 6:58:42 PM","conditionO","","4848.899999856949","images/memory_10.png","1",""
"","image-button-response","22","136892","0.0-22.0","9/8/2023, 6:58:42 PM","conditionO","","5362.199999809265","images/memory_12.png","1",""
"","image-button-response","23","145957","0.0-23.0","9/8/2023, 6:58:42 PM","conditionO","","9064.400000095367","images/order_44.jpeg","0",""
"","image-button-response","24","156464","0.0-24.0","9/8/2023, 6:58:42 PM","conditionO","","10507.100000143051","images/non_order_33.jpeg","1",""
"","image-button-response","25","160299","0.0-25.0","9/8/2023, 6:58:42 PM","conditionO","","3833.7000000476837","images/order_55.jpeg","0",""
"","image-button-response","26","170128","0.0-26.0","9/8/2023, 6:58:42 PM","conditionO","","9828.5","images/memory_5.png","0",""
"","image-button-response","27","185986","0.0-27.0","9/8/2023, 6:58:42 PM","conditionO","","15858.299999952316","images/memory_13.png","1",""
"","image-button-response","28","190498","0.0-28.0","9/8/2023, 6:58:42 PM","conditionO","","4511.299999952316","images/memory_1.png","0",""
"","survey-text","29","195877","0.0-29.0","9/8/2023, 6:58:42 PM","conditionO","","5376.700000047684","","","{""Q0"":""36""}"
"","survey-text","30","201500","0.0-30.0","9/8/2023, 6:58:42 PM","conditionO","","5620.200000047684","","","{""Q0"":""MALE""}"
"","instructions","31","226683","0.0-31.0","9/8/2023, 6:58:42 PM","conditionO","[{""page_index"":0,""viewing_time"":25182.599999904633}]","25182.799999952316","","",""
