"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","14126","0.0-0.0","9/1/2023, 9:21:54 PM","conditionO","","","","","","","","",""
"","instructions","1","70336","0.0-1.0","9/1/2023, 9:21:54 PM","conditionO","[{""page_index"":0,""viewing_time"":2407.100000023842},{""page_index"":1,""viewing_time"":28679.299999952316},{""page_index"":2,""viewing_time"":22556},{""page_index"":3,""viewing_time"":2565.5}]","56209.299999952316","","","","","","",""
"","order","2","92553","0.0-2.0","9/1/2023, 9:21:54 PM","conditionO","","22215","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":12104},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":3220},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":2670},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":2692}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397}]","4","","",""
"","instructions","3","96423","0.0-3.0","9/1/2023, 9:21:54 PM","conditionO","[{""page_index"":0,""viewing_time"":3869.6999999284744}]","3870","","","","","","",""
"","order","4","132299","0.0-4.0","9/1/2023, 9:21:54 PM","conditionO","","35874","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":316,""y"":397,""move_time"":26899},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":477,""y"":397,""move_time"":2161},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":639,""y"":397,""move_time"":2620},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":800,""y"":397,""move_time"":2577}]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":800,""y"":397}]","4","","",""
"","html-button-response","5","135039","0.0-5.0","9/1/2023, 9:21:54 PM","conditionO","","2738","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","6","189864","0.0-6.0","9/1/2023, 9:21:54 PM","conditionO","","54817.200000047684","","","","","","","{""Q0"":""I wasn't entirely sure if they contacted their friend because they were sad and then waited, or they were sad because they were waiting for their friend and it was talking awhile. ""}"
"","order","7","213887","0.0-7.0","9/1/2023, 9:21:54 PM","conditionO","","24022","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":316,""y"":397,""move_time"":6038},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":316,""y"":397,""move_time"":2559},{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":316,""y"":397,""move_time"":3780},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":477,""y"":397,""move_time"":4803},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":477,""y"":397,""move_time"":242},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":639,""y"":397,""move_time"":2593},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":800,""y"":397,""move_time"":2259}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":800,""y"":397}]","7","","",""
"","html-button-response","8","216005","0.0-8.0","9/1/2023, 9:21:54 PM","conditionO","","2115.7000000476837","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","9","231323","0.0-9.0","9/1/2023, 9:21:54 PM","conditionO","","15317.599999904633","","","","","","","{""Q0"":""It seemed like a logical order of events :)""}"
"","order","10","280821","0.0-10.0","9/1/2023, 9:21:54 PM","conditionO","","49496","[""3_5"",""3_6"",""3_7"",""3_8""]","[{""src"":""http://34.125.186.26/images/3_6.jpg"",""x"":316,""y"":397,""move_time"":35334},{""src"":""http://34.125.186.26/images/3_7.jpg"",""x"":477,""y"":397,""move_time"":4824},{""src"":""http://34.125.186.26/images/3_5.jpg"",""x"":639,""y"":397,""move_time"":2966},{""src"":""http://34.125.186.26/images/3_8.jpg"",""x"":800,""y"":397,""move_time"":1861}]","[{""src"":""http://34.125.186.26/images/3_6.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/3_7.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/3_5.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/3_8.jpg"",""x"":800,""y"":397}]","4","","",""
"","html-button-response","11","283274","0.0-11.0","9/1/2023, 9:21:54 PM","conditionO","","2451.1999999284744","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","12","307289","0.0-12.0","9/1/2023, 9:21:54 PM","conditionO","","24011.799999952316","","","","","","","{""Q0"":""This one was hard but I believed they were all stages of missing their friend. ""}"
"","order","13","324987","0.0-13.0","9/1/2023, 9:21:54 PM","conditionO","","17692","[""5_2"",""5_4"",""5_1"",""5_3""]","[{""src"":""http://34.125.186.26/images/5_1.jpg"",""x"":316,""y"":397,""move_time"":9125},{""src"":""http://34.125.186.26/images/5_2.jpg"",""x"":477,""y"":397,""move_time"":2478},{""src"":""http://34.125.186.26/images/5_3.jpg"",""x"":639,""y"":397,""move_time"":1769},{""src"":""http://34.125.186.26/images/5_4.jpg"",""x"":800,""y"":397,""move_time"":2718}]","[{""src"":""http://34.125.186.26/images/5_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/5_2.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/5_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/5_4.jpg"",""x"":800,""y"":397}]","4","","",""
"","html-button-response","14","326331","0.0-14.0","9/1/2023, 9:21:54 PM","conditionO","","1343.6000000238419","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","15","348067","0.0-15.0","9/1/2023, 9:21:54 PM","conditionO","","21727.799999952316","","","","","","","{""Q0"":""Very easy, the cat found something to play with and then played with it""}"
