"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","4909","0.0-0.0","8/23/2023, 8:22:29 PM","conditionC","","","","","","","","",""
"","survey-text","1","12094","0.0-1.0","8/23/2023, 8:22:29 PM","conditionC","7172.099999904633","{""Q0"":""71""}","","","","","","",""
"","instructions","2","72312","0.0-2.0","8/23/2023, 8:22:29 PM","conditionC","60217.09999990463","","[{""page_index"":0,""viewing_time"":2486.5},{""page_index"":1,""viewing_time"":15641.399999856949},{""page_index"":2,""viewing_time"":22710.60000014305},{""page_index"":1,""viewing_time"":6817},{""page_index"":2,""viewing_time"":10216.899999856949},{""page_index"":3,""viewing_time"":2344.100000143051}]","","","","","",""
"","order","3","99556","0.0-3.0","8/23/2023, 8:22:29 PM","conditionC","27243","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":548,""move_time"":17918},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":478,""y"":548,""move_time"":2351},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":640,""y"":548,""move_time"":4032},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":802,""y"":548,""move_time"":1657}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":548},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":478,""y"":548},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":640,""y"":548},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":802,""y"":548}]","4","",""
"","instructions","4","103028","0.0-4.0","8/23/2023, 8:22:29 PM","conditionC","3471.5","","[{""page_index"":0,""viewing_time"":3471.399999856949}]","","","","","",""
"","order","5","137593","0.0-5.0","8/23/2023, 8:22:29 PM","conditionC","34564","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":548,""move_time"":24645},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":478,""y"":548,""move_time"":1713},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":640,""y"":548,""move_time"":5704},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":802,""y"":548,""move_time"":1225}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":548},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":478,""y"":548},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":640,""y"":548},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":802,""y"":548}]","4","",""
"","html-button-response","6","140593","0.0-6.0","8/23/2023, 8:22:29 PM","conditionC","2997.7000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","7","177630","0.0-7.0","8/23/2023, 8:22:29 PM","conditionC","37033.200000047684","{""Q0"":""First he shows the watermellon then cuts and then leaves the small piece\n""}","","","","","","",""
"","order","8","281499","0.0-8.0","8/23/2023, 8:22:29 PM","conditionC","103868","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":316,""y"":474,""move_time"":88461},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":478,""y"":474,""move_time"":6849},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":640,""y"":474,""move_time"":4448},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":802,""y"":474,""move_time"":2849}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","9","283555","0.0-9.0","8/23/2023, 8:22:29 PM","conditionC","2055","","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","10","422433","0.0-10.0","8/23/2023, 8:22:29 PM","conditionC","138875.70000004768","{""Q0"":""First we see the people and the weather and then opening the umbrella and then the child is wet... (maybe that should go first :-) )\n""}","","","","","","",""
"","order","11","478130","0.0-11.0","8/23/2023, 8:22:29 PM","conditionC","55695","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":474,""move_time"":32962},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":316,""y"":235,""move_time"":8946},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":478,""y"":235,""move_time"":1456},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":474,""move_time"":6162},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":478,""y"":474,""move_time"":1448},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":640,""y"":474,""move_time"":2096},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":802,""y"":474,""move_time"":1543}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":802,""y"":474}]","7","",""
"","html-button-response","12","480462","0.0-12.0","8/23/2023, 8:22:29 PM","conditionC","2331","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","524092","0.0-13.0","8/23/2023, 8:22:29 PM","conditionC","43627.5","{""Q0"":""First he watches TV, then the cat joins, then the cat runs to the TV, then he takes him back""}","","","","","","",""
"","order","14","591375","0.0-14.0","8/23/2023, 8:22:29 PM","conditionC","67283","","","[""4_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":316,""y"":474,""move_time"":61894},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":478,""y"":474,""move_time"":1832},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":640,""y"":474,""move_time"":1264},{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":802,""y"":474,""move_time"":1408}]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","15","593143","0.0-15.0","8/23/2023, 8:22:29 PM","conditionC","1766.9000000953674","","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","16","597825","0.0-16.0","8/23/2023, 8:22:29 PM","conditionC","4680","{""Q0"":""no idea""}","","","","","","",""
