"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","3095","0.0-0.0","23.8.2023, 0:58:34","conditionB","","","","","","","",""
"","survey-text","1","4882","0.0-1.0","23.8.2023, 0:58:34","conditionB","1782.6000000238419","{""Q0"":""""}","","","","","",""
"","instructions","2","9041","0.0-2.0","23.8.2023, 0:58:34","conditionB","4158.699999988079","","[{""page_index"":0,""viewing_time"":813.8000000119209},{""page_index"":1,""viewing_time"":668.5},{""page_index"":2,""viewing_time"":1407.5},{""page_index"":3,""viewing_time"":1268.5}]","","","","",""
"","order","3","17553","0.0-3.0","23.8.2023, 0:58:34","conditionB","8510.099999964237","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1900},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":158,""move_time"":1025},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":933},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":1346},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":1234},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":1125}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":933},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":1234},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":1346},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":1125}]","",""
"","instructions","4","18597","0.0-4.0","23.8.2023, 0:58:34","conditionB","1043.199999988079","","[{""page_index"":0,""viewing_time"":1042.800000011921}]","","","","",""
"","order","5","25717","0.0-5.0","23.8.2023, 0:58:34","conditionB","7120","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":2629},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":1695},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":316,""y"":397,""move_time"":966},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":1103}]","[{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":316,""y"":397,""move_time"":966},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":1103},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":2629},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":1695}]","",""
"","html-button-response","6","26709","0.0-6.0","23.8.2023, 0:58:34","conditionB","990.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","27401","0.0-7.0","23.8.2023, 0:58:34","conditionB","681.6000000238419","{""Q0"":""""}","","","","","",""
"","order","8","28265","0.0-8.0","23.8.2023, 0:58:34","conditionB","864","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","29161","0.0-9.0","23.8.2023, 0:58:34","conditionB","894.8999999761581","","","","","","<p>How difficult was it to order the pictures?</p>","2"
