"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","2408","0.0-0.0","9/1/2023, 3:26:38 PM","conditionS","","","","","","","","",""
"","instructions","1","46847","0.0-1.0","9/1/2023, 3:26:38 PM","conditionS","[{""page_index"":0,""viewing_time"":1115.2000000476837},{""page_index"":1,""viewing_time"":22154.10000014305},{""page_index"":2,""viewing_time"":19915.39999985695},{""page_index"":3,""viewing_time"":1253.7999999523163}]","44438.90000009537","","","","","","",""
"","order","2","83930","0.0-2.0","9/1/2023, 3:26:38 PM","conditionS","","37081","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":359,""y"":421,""move_time"":10463},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":521,""y"":421,""move_time"":1169},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":683,""y"":421,""move_time"":23871},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":845,""y"":421,""move_time"":868}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":359,""y"":421},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":521,""y"":421},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":683,""y"":421},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":845,""y"":421}]","4","","",""
"","instructions","3","85145","0.0-3.0","9/1/2023, 3:26:38 PM","conditionS","[{""page_index"":0,""viewing_time"":1214.5}]","1215.1000001430511","","","","","","",""
"","order","4","125276","0.0-4.0","9/1/2023, 3:26:38 PM","conditionS","","40129","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":359,""y"":182,""move_time"":17147},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":683,""y"":182,""move_time"":3942},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":521,""y"":182,""move_time"":6238},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":359,""y"":421,""move_time"":8559},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":521,""y"":421,""move_time"":1020},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":683,""y"":421,""move_time"":928},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":845,""y"":421,""move_time"":784}]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":359,""y"":421},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":521,""y"":421},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":683,""y"":421},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":845,""y"":421}]","7","","",""
"","html-button-response","5","126894","0.0-5.0","9/1/2023, 3:26:38 PM","conditionS","","1616.1000001430511","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","6","169083","0.0-6.0","9/1/2023, 3:26:38 PM","conditionS","","42172.200000047684","","","","","","","{""Q0"":""I found it quite difficult to decide what the first picture would be, as I could see some logic to the picture I chose in the last place being correct, but not much for the first one. ""}"
"","order","7","185841","0.0-7.0","9/1/2023, 3:26:38 PM","conditionS","","16757","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":359,""y"":421,""move_time"":10064},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":521,""y"":421,""move_time"":2976},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":683,""y"":421,""move_time"":1372},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":845,""y"":421,""move_time"":887}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":359,""y"":421},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":521,""y"":421},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":683,""y"":421},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":845,""y"":421}]","4","","",""
"","html-button-response","8","187405","0.0-8.0","9/1/2023, 3:26:38 PM","conditionS","","1562.8999998569489","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","9","201679","0.0-9.0","9/1/2023, 3:26:38 PM","conditionS","","14270.699999809265","","","","","","","{""Q0"":""It seemed to follow a simple narrative of a boy finding an umbrella and opening it.""}"
