"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","6789","0.0-0.0","9/4/2023, 4:26:10 PM","conditionO","","","","",""
"","instructions","1","36763","0.0-1.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":19918.400000002235},{""page_index"":1,""viewing_time"":2742.699999999255},{""page_index"":2,""viewing_time"":2500.199999999255},{""page_index"":3,""viewing_time"":1423.800000000745},{""page_index"":4,""viewing_time"":1517.300000000745},{""page_index"":5,""viewing_time"":1866.699999999255}]","29969.900000002235","","",""
"","image-button-response","2","41332","0.0-2.0","9/4/2023, 4:26:10 PM","conditionO","","4564.900000002235","images/with_no_order_2.jpeg","1",""
"","instructions","3","43174","0.0-3.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":1840.5}]","1841.0999999977648","","",""
"","image-button-response","4","44380","0.0-4.0","9/4/2023, 4:26:10 PM","conditionO","","1203.3999999985099","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","45140","0.0-5.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":759.8000000007451}]","760.1000000014901","","",""
"","image-button-response","6","47321","0.0-6.0","9/4/2023, 4:26:10 PM","conditionO","","2179.39999999851","images/with_order_2.jpeg","0",""
"","instructions","7","48492","0.0-7.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":1170}]","1170.6000000014901","","",""
"","instructions","8","50156","0.0-8.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":1662.300000000745}]","1662.9000000022352","","",""
"","image-button-response","9","101388","0.0-9.0","9/4/2023, 4:26:10 PM","conditionO","","51229.300000000745","images/memory_example_1.jpg","0",""
"","instructions","10","103949","0.0-10.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":1625.0999999977648},{""page_index"":1,""viewing_time"":935.6000000014901}]","2561.099999997765","","",""
"","image-button-response","11","108201","0.0-11.0","9/4/2023, 4:26:10 PM","conditionO","","4249.89999999851","images/scrambled_22.jpeg","2",""
"","image-button-response","12","111177","0.0-12.0","9/4/2023, 4:26:10 PM","conditionO","","2973.89999999851","images/order_33.jpeg","0",""
"","image-button-response","13","111266","0.0-13.0","9/4/2023, 4:26:10 PM","conditionO","","86.59999999776483","images/order_22.jpeg","0",""
"","image-button-response","14","116887","0.0-14.0","9/4/2023, 4:26:10 PM","conditionO","","5619.5","images/memory_7.png","0",""
"","image-button-response","15","119497","0.0-15.0","9/4/2023, 4:26:10 PM","conditionO","","2607.5","images/memory_8.png","0",""
"","image-button-response","16","122515","0.0-16.0","9/4/2023, 4:26:10 PM","conditionO","","3015.7999999970198","images/memory_9.png","0",""
"","image-button-response","17","129986","0.0-17.0","9/4/2023, 4:26:10 PM","conditionO","","7469.5","images/scrambled_11.jpeg","0",""
"","image-button-response","18","135513","0.0-18.0","9/4/2023, 4:26:10 PM","conditionO","","5524.5","images/order_11.jpeg","0",""
"","image-button-response","19","175732","0.0-19.0","9/4/2023, 4:26:10 PM","conditionO","","40216.900000002235","images/non_order_11.jpeg","2",""
"","image-button-response","20","178427","0.0-20.0","9/4/2023, 4:26:10 PM","conditionO","","2693.199999999255","images/memory_10.png","1",""
"","image-button-response","21","180822","0.0-21.0","9/4/2023, 4:26:10 PM","conditionO","","2392.10000000149","images/memory_11.png","1",""
"","image-button-response","22","183026","0.0-22.0","9/4/2023, 4:26:10 PM","conditionO","","2201","images/memory_12.png","0",""
"","image-button-response","23","190351","0.0-23.0","9/4/2023, 4:26:10 PM","conditionO","","7323.300000000745","images/order_44.jpeg","0",""
"","image-button-response","24","196663","0.0-24.0","9/4/2023, 4:26:10 PM","conditionO","","6309.89999999851","images/non_order_33.jpeg","1",""
"","image-button-response","25","225803","0.0-25.0","9/4/2023, 4:26:10 PM","conditionO","","29137.300000000745","images/order_55.jpeg","0",""
"","image-button-response","26","230215","0.0-26.0","9/4/2023, 4:26:10 PM","conditionO","","4410.699999999255","images/memory_5.png","0",""
"","image-button-response","27","233002","0.0-27.0","9/4/2023, 4:26:10 PM","conditionO","","2785","images/memory_13.png","1",""
"","image-button-response","28","235006","0.0-28.0","9/4/2023, 4:26:10 PM","conditionO","","2002.699999999255","images/memory_1.png","0",""
"","survey-text","29","239722","0.0-29.0","9/4/2023, 4:26:10 PM","conditionO","","4710.900000002235","","","{""Q0"":""35""}"
"","survey-text","30","245914","0.0-30.0","9/4/2023, 4:26:10 PM","conditionO","","6185.099999997765","","","{""Q0"":""male""}"
"","instructions","31","251126","0.0-31.0","9/4/2023, 4:26:10 PM","conditionO","[{""page_index"":0,""viewing_time"":5210.800000000745}]","5211.199999999255","","",""
