"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","4670","0.0-0.0","8/23/2023, 2:03:12 AM","conditionB","","","","","","","","",""
"","survey-text","1","5563","0.0-1.0","8/23/2023, 2:03:12 AM","conditionB","877","{""Q0"":""""}","","","","","","",""
"","instructions","2","9367","0.0-2.0","8/23/2023, 2:03:12 AM","conditionB","3802.800000011921","","[{""page_index"":0,""viewing_time"":1054.300000011921},{""page_index"":1,""viewing_time"":672},{""page_index"":2,""viewing_time"":912.1000000238419},{""page_index"":3,""viewing_time"":1163.7999999523163}]","","","","","",""
"","order","3","10743","0.0-3.0","8/23/2023, 2:03:12 AM","conditionB","1374","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","instructions","4","12235","0.0-4.0","8/23/2023, 2:03:12 AM","conditionB","1491.3999999761581","","[{""page_index"":0,""viewing_time"":1490.699999988079}]","","","","","",""
"","order","5","13531","0.0-5.0","8/23/2023, 2:03:12 AM","conditionB","1295","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","6","14331","0.0-6.0","8/23/2023, 2:03:12 AM","conditionB","797.8999999761581","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","7","15152","0.0-7.0","8/23/2023, 2:03:12 AM","conditionB","811","{""Q0"":""""}","","","","","","",""
"","order","8","16431","0.0-8.0","8/23/2023, 2:03:12 AM","conditionB","1277","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","9","17400","0.0-9.0","8/23/2023, 2:03:12 AM","conditionB","966.2000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
