"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","4548","0.0-0.0","8/24/2023, 4:47:00 PM","conditionS","","","","","","","","",""
"","instructions","1","40276","0.0-1.0","8/24/2023, 4:47:00 PM","conditionS","[{""page_index"":0,""viewing_time"":1627.7000000476837},{""page_index"":1,""viewing_time"":12977.299999952316},{""page_index"":2,""viewing_time"":19978.60000014305},{""page_index"":3,""viewing_time"":1143.7999999523163}]","35727.60000014305","","","","","","",""
"","order","2","65143","0.0-2.0","8/24/2023, 4:47:00 PM","conditionS","","24866","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":667,""y"":665,""move_time"":15123},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":829,""y"":665,""move_time"":2120},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":991,""y"":665,""move_time"":1809},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1153,""y"":665,""move_time"":3105}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":667,""y"":665},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":829,""y"":665},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":991,""y"":665},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1153,""y"":665}]","4","","",""
"","instructions","3","136768","0.0-3.0","8/24/2023, 4:47:00 PM","conditionS","[{""page_index"":0,""viewing_time"":71623.79999995232}]","71624","","","","","","",""
"","order","4","155226","0.0-4.0","8/24/2023, 4:47:00 PM","conditionS","","18458","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":667,""y"":665,""move_time"":5083},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":829,""y"":665,""move_time"":1808},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":991,""y"":665,""move_time"":1921},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":1153,""y"":665,""move_time"":1072}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":667,""y"":665},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":829,""y"":665},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":991,""y"":665},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":1153,""y"":665}]","4","","",""
"","html-button-response","5","157419","0.0-5.0","8/24/2023, 4:47:00 PM","conditionS","","2192.2999999523163","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","6","187038","0.0-6.0","8/24/2023, 4:47:00 PM","conditionS","","29615.200000047684","","","","","","","{""Q0"":""I looked at the watermelon and used it being whole and then cut into pieces and then mostly gone as my guide.""}"
"","order","7","272383","0.0-7.0","8/24/2023, 4:47:00 PM","conditionS","","85345","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":667,""y"":665,""move_time"":59256},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":829,""y"":665,""move_time"":11482},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":991,""y"":665,""move_time"":1208},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":1153,""y"":665,""move_time"":1232}]","[{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":667,""y"":665},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":829,""y"":665},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":991,""y"":665},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":1153,""y"":665}]","4","","",""
"","html-button-response","8","275783","0.0-8.0","8/24/2023, 4:47:00 PM","conditionS","","3399.2999999523163","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","9","307467","0.0-9.0","8/24/2023, 4:47:00 PM","conditionS","","31682.900000095367","","","","","","","{""Q0"":""I think the boy was outside walking and then it started to rain. He tried to open his umbrella but could not do it, then the sun came out and the boy did not need to open it anymore.""}"
