"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","9889","0.0-0.0","9/4/2023, 5:22:50 PM","conditionS","","","","",""
"","instructions","1","41077","0.0-1.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":8975.5},{""page_index"":1,""viewing_time"":8935.59999999404},{""page_index"":2,""viewing_time"":2826.9000000059605},{""page_index"":3,""viewing_time"":2109.899999976158},{""page_index"":4,""viewing_time"":1607.2000000178814},{""page_index"":5,""viewing_time"":6730.4000000059605}]","31186","","",""
"","image-button-response","2","45157","0.0-2.0","9/4/2023, 5:22:50 PM","conditionS","","4077.5999999940395","images/with_no_order_2.jpeg","1",""
"","instructions","3","47101","0.0-3.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":1942.5999999940395}]","1942.9000000059605","","",""
"","image-button-response","4","48599","0.0-4.0","9/4/2023, 5:22:50 PM","conditionS","","1496.4000000059605","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","49876","0.0-5.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":1275.5}]","1275.8999999761581","","",""
"","image-button-response","6","51750","0.0-6.0","9/4/2023, 5:22:50 PM","conditionS","","1872.5","images/with_order_2.jpeg","0",""
"","instructions","7","52873","0.0-7.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":1121.300000011921}]","1121.7000000178814","","",""
"","instructions","8","55663","0.0-8.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":2788.2000000178814}]","2788.600000023842","","",""
"","image-button-response","9","63632","0.0-9.0","9/4/2023, 5:22:50 PM","conditionS","","7970.5","images/memory_example_1.jpg","0",""
"","instructions","10","66374","0.0-10.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":1463.2999999821186},{""page_index"":1,""viewing_time"":1276.800000011921}]","2741.0999999940395","","",""
"","image-button-response","11","71606","0.0-11.0","9/4/2023, 5:22:50 PM","conditionS","","5229.300000011921","images/scrambled_22.jpeg","2",""
"","image-button-response","12","79215","0.0-12.0","9/4/2023, 5:22:50 PM","conditionS","","7606.700000017881","images/order_33.jpeg","0",""
"","image-button-response","13","90734","0.0-13.0","9/4/2023, 5:22:50 PM","conditionS","","11517","images/order_22.jpeg","0",""
"","image-button-response","14","96160","0.0-14.0","9/4/2023, 5:22:50 PM","conditionS","","5425","images/memory_7.png","1",""
"","image-button-response","15","99691","0.0-15.0","9/4/2023, 5:22:50 PM","conditionS","","3529.0999999940395","images/memory_8.png","1",""
"","image-button-response","16","102289","0.0-16.0","9/4/2023, 5:22:50 PM","conditionS","","2596.199999988079","images/memory_9.png","0",""
"","image-button-response","17","117170","0.0-17.0","9/4/2023, 5:22:50 PM","conditionS","","14879.700000017881","images/scrambled_11.jpeg","2",""
"","image-button-response","18","121067","0.0-18.0","9/4/2023, 5:22:50 PM","conditionS","","3895.300000011921","images/order_11.jpeg","0",""
"","image-button-response","19","131578","0.0-19.0","9/4/2023, 5:22:50 PM","conditionS","","10510","images/non_order_11.jpeg","1",""
"","image-button-response","20","134291","0.0-20.0","9/4/2023, 5:22:50 PM","conditionS","","2711","images/memory_10.png","1",""
"","image-button-response","21","139503","0.0-21.0","9/4/2023, 5:22:50 PM","conditionS","","5209.9000000059605","images/memory_11.png","0",""
"","image-button-response","22","141855","0.0-22.0","9/4/2023, 5:22:50 PM","conditionS","","2349.699999988079","images/memory_12.png","0",""
"","image-button-response","23","153116","0.0-23.0","9/4/2023, 5:22:50 PM","conditionS","","11260.299999982119","images/order_44.jpeg","0",""
"","image-button-response","24","162900","0.0-24.0","9/4/2023, 5:22:50 PM","conditionS","","9781","images/non_order_33.jpeg","2",""
"","image-button-response","25","166297","0.0-25.0","9/4/2023, 5:22:50 PM","conditionS","","3395.5","images/order_55.jpeg","0",""
"","image-button-response","26","168442","0.0-26.0","9/4/2023, 5:22:50 PM","conditionS","","2143.2000000178814","images/memory_5.png","0",""
"","image-button-response","27","172342","0.0-27.0","9/4/2023, 5:22:50 PM","conditionS","","3897.4000000059605","images/memory_13.png","1",""
"","image-button-response","28","174928","0.0-28.0","9/4/2023, 5:22:50 PM","conditionS","","2584.100000023842","images/memory_1.png","0",""
"","survey-text","29","179705","0.0-29.0","9/4/2023, 5:22:50 PM","conditionS","","4759.4000000059605","","","{""Q0"":""25""}"
"","survey-text","30","186835","0.0-30.0","9/4/2023, 5:22:50 PM","conditionS","","7117.700000017881","","","{""Q0"":""FEMALE""}"
"","instructions","31","201378","0.0-31.0","9/4/2023, 5:22:50 PM","conditionS","[{""page_index"":0,""viewing_time"":14542.09999999404}]","14542.5","","",""
