"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3190","0.0-0.0","8/24/2023, 2:45:40 PM","conditionS","","","","","","","","",""
"","instructions","1","56390","0.0-1.0","8/24/2023, 2:45:40 PM","conditionS","[{""page_index"":0,""viewing_time"":1680.2999999998137},{""page_index"":1,""viewing_time"":6301.299999999814},{""page_index"":2,""viewing_time"":43460},{""page_index"":3,""viewing_time"":1753.5}]","53197.5","","","","","","",""
"","order","2","99904","0.0-2.0","8/24/2023, 2:45:40 PM","conditionS","","43506","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":297,""y"":385,""move_time"":21776},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":297,""y"":385,""move_time"":7987},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":459,""y"":385,""move_time"":2758},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":297,""y"":385,""move_time"":4830},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":621,""y"":385,""move_time"":2213},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":782,""y"":385,""move_time"":2499}]","[{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":297,""y"":385},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":459,""y"":385},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":621,""y"":385},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":782,""y"":385}]","6","","",""
"","instructions","3","103087","0.0-3.0","8/24/2023, 2:45:40 PM","conditionS","[{""page_index"":0,""viewing_time"":3180.0999999996275}]","3180.899999999441","","","","","","",""
"","order","4","121178","0.0-4.0","8/24/2023, 2:45:40 PM","conditionS","","18084","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":297,""y"":385,""move_time"":7087},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":459,""y"":385,""move_time"":4396},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":621,""y"":385,""move_time"":3961},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":782,""y"":385,""move_time"":1560}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":297,""y"":385},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":459,""y"":385},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":621,""y"":385},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":782,""y"":385}]","4","","",""
"","html-button-response","5","124462","0.0-5.0","8/24/2023, 2:45:40 PM","conditionS","","3277.100000000559","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","6","141094","0.0-6.0","8/24/2023, 2:45:40 PM","conditionS","","16609.200000000186","","","","","","","{""Q0"":""its how i saw it happen in order if i was in the same situation ""}"
"","order","7","159012","0.0-7.0","8/24/2023, 2:45:40 PM","conditionS","","17912","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":297,""y"":385,""move_time"":11976},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":459,""y"":385,""move_time"":1883},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":621,""y"":385,""move_time"":1522},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":782,""y"":385,""move_time"":1421}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":297,""y"":385},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":459,""y"":385},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":621,""y"":385},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":782,""y"":385}]","4","","",""
"","html-button-response","8","160611","0.0-8.0","8/24/2023, 2:45:40 PM","conditionS","","1594","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","9","167283","0.0-9.0","8/24/2023, 2:45:40 PM","conditionS","","6666.299999999814","","","","","","","{""Q0"":""wasnt too sure on this one""}"
"","order","10","186643","0.0-10.0","8/24/2023, 2:45:40 PM","conditionS","","19356","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":297,""y"":385,""move_time"":6277},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":621,""y"":385,""move_time"":7017},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":459,""y"":385,""move_time"":1619},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":297,""y"":385,""move_time"":1884},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":782,""y"":385,""move_time"":1493}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":297,""y"":385},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":459,""y"":385},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":621,""y"":385},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":782,""y"":385}]","5","","",""
"","html-button-response","11","188005","0.0-11.0","8/24/2023, 2:45:40 PM","conditionS","","1357.6000000005588","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","12","197037","0.0-12.0","8/24/2023, 2:45:40 PM","conditionS","","9025.700000000186","","","","","","","{""Q0"":""it is how i saw it would happen in my head""}"
"","order","13","217225","0.0-13.0","8/24/2023, 2:45:40 PM","conditionS","","20184","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":297,""y"":385,""move_time"":10694},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":459,""y"":385,""move_time"":2226},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":621,""y"":385,""move_time"":1433},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":621,""y"":385,""move_time"":1776},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":782,""y"":385,""move_time"":2905}]","[{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":297,""y"":385},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":459,""y"":385},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":621,""y"":385},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":782,""y"":385}]","5","","",""
"","html-button-response","14","218706","0.0-14.0","8/24/2023, 2:45:40 PM","conditionS","","1477.4000000003725","","","","","<p>How difficult was it to order the pictures?</p>","3",""
