success,trial_type,trial_index,time_elapsed,internal_node_id,subject,condition,view_history,rt,initial_locations,moves,final_locations_3,number_of_moves,stimulus,button_pressed,responses
TRUE,fullscreen,0,4167,0.0-0.0,"8/24/2023, 12:44:07 PM",conditionS,,,,,,,,,
,instructions,1,20330,0.0-1.0,"8/24/2023, 12:44:07 PM",conditionS,"[{""page_index"":0,""viewing_time"":3261},{""page_index"":1,""viewing_time"":2455},{""page_index"":2,""viewing_time"":6201},{""page_index"":3,""viewing_time"":4181}]",16100,,,,,,,
,order,2,31511,0.0-2.0,"8/24/2023, 12:44:07 PM",conditionS,,11179,"[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":421,""move_time"":3143},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":478,""y"":421,""move_time"":3450},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":640,""y"":421,""move_time"":1654},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":802,""y"":421,""move_time"":1877}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":421},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":478,""y"":421},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":640,""y"":421},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":802,""y"":421}]",4,,,
,instructions,3,33181,0.0-3.0,"8/24/2023, 12:44:07 PM",conditionS,"[{""page_index"":0,""viewing_time"":1669}]",1670,,,,,,,
,order,4,49360,0.0-4.0,"8/24/2023, 12:44:07 PM",conditionS,,16175,"[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":421,""move_time"":3324},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":478,""y"":421,""move_time"":1393},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":478,""y"":421,""move_time"":1731},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":640,""y"":421,""move_time"":3302},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":478,""y"":421,""move_time"":2164},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":802,""y"":421,""move_time"":2163}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":421},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":478,""y"":421},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":640,""y"":421},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":802,""y"":421}]",6,,,
,html-button-response,5,51301,0.0-5.0,"8/24/2023, 12:44:07 PM",conditionS,,1936,,,,,<p>How difficult was it to order the pictures?</p>,3,
,survey-text,6,54703,0.0-6.0,"8/24/2023, 12:44:07 PM",conditionS,,3374,,,,,,,"{""Q0"":""As per the insection made my decision.""}"
,order,7,65927,0.0-7.0,"8/24/2023, 12:44:07 PM",conditionS,,11217,"[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":316,""y"":421,""move_time"":3517},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":478,""y"":421,""move_time"":1235},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":640,""y"":421,""move_time"":2631},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":802,""y"":421,""move_time"":1727}]","[{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":316,""y"":421},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":478,""y"":421},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":640,""y"":421},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":802,""y"":421}]",4,,,
,html-button-response,8,68131,0.0-8.0,"8/24/2023, 12:44:07 PM",conditionS,,2200,,,,,<p>How difficult was it to order the pictures?</p>,2,
,survey-text,9,70788,0.0-9.0,"8/24/2023, 12:44:07 PM",conditionS,,2649,,,,,,,"{""Q0"":""As per the insection made my decision.""}"
