"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2495","0.0-0.0","23.8.2023, 1:54:39","conditionB","","","","","","","",""
"","survey-text","1","3550","0.0-1.0","23.8.2023, 1:54:39","conditionB","1053.4000000357628","{""Q0"":""""}","","","","","",""
"","instructions","2","7382","0.0-2.0","23.8.2023, 1:54:39","conditionB","3831.2999999523163","","[{""page_index"":0,""viewing_time"":794},{""page_index"":1,""viewing_time"":577},{""page_index"":2,""viewing_time"":1287.5},{""page_index"":3,""viewing_time"":1172.3999999761581}]","","","","",""
"","order","3","11673","0.0-3.0","23.8.2023, 1:54:39","conditionB","4290.100000023842","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":1125},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":670},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":726},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":737}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":1125},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":670},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":726},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":737}]","",""
"","instructions","4","12797","0.0-4.0","23.8.2023, 1:54:39","conditionB","1123.699999988079","","[{""page_index"":0,""viewing_time"":1123.3999999761581}]","","","","",""
"","order","5","14077","0.0-5.0","23.8.2023, 1:54:39","conditionB","1279.5","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[]","[]","",""
"","html-button-response","6","15197","0.0-6.0","23.8.2023, 1:54:39","conditionB","1118.9000000357628","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","16082","0.0-7.0","23.8.2023, 1:54:39","conditionB","881.7000000476837","{""Q0"":""""}","","","","","",""
"","order","8","17313","0.0-8.0","23.8.2023, 1:54:39","conditionB","1230.7999999523163","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","18273","0.0-9.0","23.8.2023, 1:54:39","conditionB","959.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","2"
