"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","3042","0.0-0.0","22.8.2023, 14:25:05","conditionB","","","","","","","",""
"","survey-text","1","6764","0.0-1.0","22.8.2023, 14:25:05","conditionB","3717.399999976158","{""Q0"":""31""}","","","","","",""
"","instructions","2","15913","0.0-2.0","22.8.2023, 14:25:05","conditionB","9147.5","","[{""page_index"":0,""viewing_time"":1254.9000000357628},{""page_index"":1,""viewing_time"":4104},{""page_index"":2,""viewing_time"":2363.899999976158},{""page_index"":3,""viewing_time"":1424.3999999761581}]","","","","",""
"","order","3","41208","0.0-3.0","22.8.2023, 14:25:05","conditionB","25294.899999976158","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":19340},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":2628},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":1409},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":1156}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":19340},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":397,""move_time"":2628},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":1409},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":1156}]","",""
"","instructions","4","44860","0.0-4.0","22.8.2023, 14:25:05","conditionB","3651.5","","[{""page_index"":0,""viewing_time"":3651.300000011921}]","","","","",""
"","order","5","61036","0.0-5.0","22.8.2023, 14:25:05","conditionB","16174.800000011921","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":6337},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":397,""move_time"":1714},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":822},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":763},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":2997},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":2125}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":397,""move_time"":6337},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":2997},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":397,""move_time"":1714},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":2125}]","",""
"","html-button-response","6","67481","0.0-6.0","22.8.2023, 14:25:05","conditionB","6443.600000023842","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","7","69592","0.0-7.0","22.8.2023, 14:25:05","conditionB","2107.5","{""Q0"":""""}","","","","","",""
"","order","8","86427","0.0-8.0","22.8.2023, 14:25:05","conditionB","16834.30000001192","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":397,""move_time"":4141},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397,""move_time"":995},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":397,""move_time"":996},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":800,""y"":397,""move_time"":939},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":639,""y"":397,""move_time"":802},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":477,""y"":397,""move_time"":2579}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":316,""y"":397,""move_time"":4141},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":477,""y"":397,""move_time"":2579},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397,""move_time"":995},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":397,""move_time"":996}]","",""
"","html-button-response","9","88164","0.0-9.0","22.8.2023, 14:25:05","conditionB","1735.5","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","10","91072","0.0-10.0","22.8.2023, 14:25:05","conditionB","2906.699999988079","{""Q0"":""""}","","","","","",""
"","order","11","114700","0.0-11.0","22.8.2023, 14:25:05","conditionB","23627.200000047684","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":397,""move_time"":3132},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":2690},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":800,""y"":397,""move_time"":2236},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":749},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":245},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":1775},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":477,""y"":397,""move_time"":1412},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":720}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":397,""move_time"":3132},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":2690},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":720},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":800,""y"":397,""move_time"":2236}]","",""
"","html-button-response","12","116196","0.0-12.0","22.8.2023, 14:25:05","conditionB","1495.199999988079","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","117132","0.0-13.0","22.8.2023, 14:25:05","conditionB","935.0999999642372","{""Q0"":""""}","","","","","",""
"","order","14","134124","0.0-14.0","22.8.2023, 14:25:05","conditionB","16991.5","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":316,""y"":397,""move_time"":2130},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":477,""y"":397,""move_time"":896},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":477,""y"":397,""move_time"":2688},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":639,""y"":397,""move_time"":2263},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":800,""y"":397,""move_time"":879}]","[{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":316,""y"":397,""move_time"":2130},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":477,""y"":397,""move_time"":2688},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":639,""y"":397,""move_time"":2263},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":800,""y"":397,""move_time"":879}]","",""
"","html-button-response","15","135360","0.0-15.0","22.8.2023, 14:25:05","conditionB","1234.699999988079","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","16","136096","0.0-16.0","22.8.2023, 14:25:05","conditionB","735.1000000238419","{""Q0"":""""}","","","","","",""
"","order","17","142024","0.0-17.0","22.8.2023, 14:25:05","conditionB","5926.800000011921","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":1667},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":727},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":1202},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":924}]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":1667},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":727},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":1202},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":924}]","",""
"","html-button-response","18","143464","0.0-18.0","22.8.2023, 14:25:05","conditionB","1439","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","19","144300","0.0-19.0","22.8.2023, 14:25:05","conditionB","835.3000000119209","{""Q0"":""""}","","","","","",""
