"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2382","0.0-0.0","23.8.2023, 0:45:00","conditionC","","","","","","","",""
"","survey-text","1","3144","0.0-1.0","23.8.2023, 0:45:00","conditionC","759.1999999880791","{""Q0"":""""}","","","","","",""
"","instructions","2","6819","0.0-2.0","23.8.2023, 0:45:00","conditionC","3674.899999976158","","[{""page_index"":0,""viewing_time"":774.3999999761581},{""page_index"":1,""viewing_time"":528.6000000238419},{""page_index"":2,""viewing_time"":1361},{""page_index"":3,""viewing_time"":1010.5}]","","","","",""
"","order","3","24107","0.0-3.0","23.8.2023, 0:45:00","conditionC","17287.100000023842","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1880},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":316,""y"":397,""move_time"":698},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":824},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":996},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":1286},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":639,""y"":397,""move_time"":2597},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":4793},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1124},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":639,""y"":397,""move_time"":833}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":996},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1124},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":639,""y"":397,""move_time"":833},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":639,""y"":397,""move_time"":2597}]","",""
"","instructions","4","25051","0.0-4.0","23.8.2023, 0:45:00","conditionC","942.9000000357628","","[{""page_index"":0,""viewing_time"":942.6000000238419}]","","","","",""
"","order","5","35151","0.0-5.0","23.8.2023, 0:45:00","conditionC","10099.199999988079","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":316,""y"":397,""move_time"":1206},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":810},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":963},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":707},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":1570},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1681},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":2052}]","[{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":397,""move_time"":1570},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":810},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397,""move_time"":1681},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":2052}]","",""
"","html-button-response","6","36051","0.0-6.0","23.8.2023, 0:45:00","conditionC","899","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","36835","0.0-7.0","23.8.2023, 0:45:00","conditionC","782","{""Q0"":""""}","","","","","",""
"","order","8","39967","0.0-8.0","23.8.2023, 0:45:00","conditionC","3130.899999976158","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","40991","0.0-9.0","23.8.2023, 0:45:00","conditionC","1022.5999999642372","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","10","41748","0.0-10.0","23.8.2023, 0:45:00","conditionC","754.5999999642372","{""Q0"":""""}","","","","","",""
"","order","11","49795","0.0-11.0","23.8.2023, 0:45:00","conditionC","8046.300000011921","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":316,""y"":397,""move_time"":1854},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":397,""move_time"":1059},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":801},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":639,""y"":397,""move_time"":1569},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":800,""y"":397,""move_time"":1276},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":665}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":316,""y"":397,""move_time"":1059},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":801},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":665},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":639,""y"":397,""move_time"":1569}]","",""
"","html-button-response","12","50736","0.0-12.0","23.8.2023, 0:45:00","conditionC","939.5","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","13","51855","0.0-13.0","23.8.2023, 0:45:00","conditionC","1118.199999988079","{""Q0"":""""}","","","","","",""
"","order","14","57803","0.0-14.0","23.8.2023, 0:45:00","conditionC","5946.899999976158","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":316,""y"":397,""move_time"":2717},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":477,""y"":397,""move_time"":612},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397,""move_time"":604},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397,""move_time"":613}]","[{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":316,""y"":397,""move_time"":2717},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":477,""y"":397,""move_time"":612},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397,""move_time"":604},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397,""move_time"":613}]","",""
"","html-button-response","15","58815","0.0-15.0","23.8.2023, 0:45:00","conditionC","1011.3000000119209","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","16","59620","0.0-16.0","23.8.2023, 0:45:00","conditionC","803.3999999761581","{""Q0"":""""}","","","","","",""
"","order","17","64039","0.0-17.0","23.8.2023, 0:45:00","conditionC","4417.400000035763","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":477,""y"":397,""move_time"":1115},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":316,""y"":397,""move_time"":973},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":800,""y"":397,""move_time"":676},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":639,""y"":397,""move_time"":753}]","[{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":316,""y"":397,""move_time"":973},{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":477,""y"":397,""move_time"":1115},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":639,""y"":397,""move_time"":753},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":800,""y"":397,""move_time"":676}]","",""
"","html-button-response","18","64888","0.0-18.0","23.8.2023, 0:45:00","conditionC","848.1999999880791","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","19","66044","0.0-19.0","23.8.2023, 0:45:00","conditionC","1153.800000011921","{""Q0"":""""}","","","","","",""
