"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","2333","0.0-0.0","23.8.2023, 2:36:51","conditionA","","","","","","","","",""
"","survey-text","1","2952","0.0-1.0","23.8.2023, 2:36:51","conditionA","613.8000000119209","{""Q0"":""""}","","","","","","",""
"","instructions","2","7132","0.0-2.0","23.8.2023, 2:36:51","conditionA","4179.699999988079","","[{""page_index"":0,""viewing_time"":732.1999999880791},{""page_index"":1,""viewing_time"":496.80000001192093},{""page_index"":2,""viewing_time"":1836.0999999642372},{""page_index"":3,""viewing_time"":1113.800000011921}]","","","","","",""
"","order","3","11142","0.0-3.0","23.8.2023, 2:36:51","conditionA","4007","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":1179},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":674},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":639},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":738}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397}]","4","",""
"","instructions","4","12153","0.0-4.0","23.8.2023, 2:36:51","conditionA","1011.0999999642372","","[{""page_index"":0,""viewing_time"":1010.6999999880791}]","","","","","",""
"","order","5","16645","0.0-5.0","23.8.2023, 2:36:51","conditionA","4490","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":316,""y"":397,""move_time"":1751},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":625},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":613},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397,""move_time"":662}]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":800,""y"":397}]","4","",""
"","html-button-response","6","17514","0.0-6.0","23.8.2023, 2:36:51","conditionA","866.9000000357628","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","18761","0.0-7.0","23.8.2023, 2:36:51","conditionA","1240.2999999523163","{""Q0"":""""}","","","","","","",""
"","order","8","21309","0.0-8.0","23.8.2023, 2:36:51","conditionA","2546","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":800,""y"":397}]","0","",""
"","html-button-response","9","22189","0.0-9.0","23.8.2023, 2:36:51","conditionA","879","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
