"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","2792","0.0-0.0","8/27/2023, 8:51:49 PM","conditionO","","","","","","","","",""
"","instructions","1","16886","0.0-1.0","8/27/2023, 8:51:49 PM","conditionO","[{""page_index"":0,""viewing_time"":1390},{""page_index"":1,""viewing_time"":4435},{""page_index"":2,""viewing_time"":7151},{""page_index"":3,""viewing_time"":1118}]","14094","","","","","","",""
"","order","2","27588","0.0-2.0","8/27/2023, 8:51:49 PM","conditionO","","10701","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":396,""y"":486,""move_time"":6857},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":557,""y"":486,""move_time"":1013},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":718,""y"":486,""move_time"":984},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":879,""y"":486,""move_time"":951}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":396,""y"":486},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":557,""y"":486},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":718,""y"":486},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":879,""y"":486}]","4","","",""
"","instructions","3","28904","0.0-3.0","8/27/2023, 8:51:49 PM","conditionO","[{""page_index"":0,""viewing_time"":1316}]","1316","","","","","","",""
"","order","4","41404","0.0-4.0","8/27/2023, 8:51:49 PM","conditionO","","12500","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":396,""y"":486,""move_time"":5753},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":557,""y"":486,""move_time"":3934},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":718,""y"":486,""move_time"":1133},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":879,""y"":486,""move_time"":888}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":396,""y"":486},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":557,""y"":486},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":718,""y"":486},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":879,""y"":486}]","4","","",""
"","html-button-response","5","43556","0.0-5.0","8/27/2023, 8:51:49 PM","conditionO","","2150","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","6","62475","0.0-6.0","8/27/2023, 8:51:49 PM","conditionO","","18911","","","","","","","{""Q0"":""seemed like the logical order of events""}"
"","order","7","107080","0.0-7.0","8/27/2023, 8:51:49 PM","conditionO","","44608","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":718,""y"":248,""move_time"":24275},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":396,""y"":486,""move_time"":3034},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":557,""y"":486,""move_time"":993},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":718,""y"":486,""move_time"":974},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":557,""y"":486,""move_time"":5486},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":396,""y"":486,""move_time"":3615},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":879,""y"":486,""move_time"":2383},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":718,""y"":486,""move_time"":851},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":557,""y"":486,""move_time"":855},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":396,""y"":486,""move_time"":1193}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":396,""y"":486},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":557,""y"":486},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":718,""y"":486},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":879,""y"":486}]","10","","",""
"","html-button-response","8","108264","0.0-8.0","8/27/2023, 8:51:49 PM","conditionO","","1183","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","9","124151","0.0-9.0","8/27/2023, 8:51:49 PM","conditionO","","15887","","","","","","","{""Q0"":""It seemed like she was putting the umbrella away""}"
"","order","10","136751","0.0-10.0","8/27/2023, 8:51:49 PM","conditionO","","12600","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":396,""y"":486,""move_time"":5304},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":557,""y"":486,""move_time"":1199},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":718,""y"":486,""move_time"":1085},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":879,""y"":486,""move_time"":1631},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":557,""y"":486,""move_time"":685},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":718,""y"":486,""move_time"":850},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":879,""y"":486,""move_time"":999}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":396,""y"":486},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":557,""y"":486},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":718,""y"":486},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":879,""y"":486}]","7","","",""
"","html-button-response","11","138118","0.0-11.0","8/27/2023, 8:51:49 PM","conditionO","","1365","","","","","<p>How difficult was it to order the pictures?</p>","1",""
"","survey-text","12","140201","0.0-12.0","8/27/2023, 8:51:49 PM","conditionO","","2082","","","","","","","{""Q0"":""seemed like the logical order of events""}"
"","order","13","162370","0.0-13.0","8/27/2023, 8:51:49 PM","conditionO","","22169","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":396,""y"":486,""move_time"":7204},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":557,""y"":486,""move_time"":1317},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":879,""y"":486,""move_time"":4733},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":718,""y"":486,""move_time"":2551},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":557,""y"":486,""move_time"":1950}]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":396,""y"":486},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":557,""y"":486},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":718,""y"":486},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":879,""y"":486}]","5","","",""
"","html-button-response","14","163287","0.0-14.0","8/27/2023, 8:51:49 PM","conditionO","","916","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","15","172414","0.0-15.0","8/27/2023, 8:51:49 PM","conditionO","","9126","","","","","","","{""Q0"":""no sequence of events made sense to me""}"
