"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","5501","0.0-0.0","9/8/2023, 4:11:32 PM","conditionO","","","","",""
"","instructions","1","55965","0.0-1.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":6668},{""page_index"":1,""viewing_time"":16599},{""page_index"":2,""viewing_time"":5321.699999809265},{""page_index"":3,""viewing_time"":6981.300000190735},{""page_index"":4,""viewing_time"":2239},{""page_index"":5,""viewing_time"":12647}]","50456.5","","",""
"","image-button-response","2","62916","0.0-2.0","9/8/2023, 4:11:32 PM","conditionO","","6949.400000095367","images/with_no_order_2.jpeg","2",""
"","instructions","3","66893","0.0-3.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":3975.4000000953674}]","3975.699999809265","","",""
"","image-button-response","4","80276","0.0-4.0","9/8/2023, 4:11:32 PM","conditionO","","13382.300000190735","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","83653","0.0-5.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":3377}]","3377.2000002861023","","",""
"","image-button-response","6","85774","0.0-6.0","9/8/2023, 4:11:32 PM","conditionO","","2119.699999809265","images/with_order_2.jpeg","0",""
"","instructions","7","89190","0.0-7.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":3415.699999809265}]","3415.8999996185303","","",""
"","instructions","8","107176","0.0-8.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":17985.199999809265}]","17985.400000095367","","",""
"","image-button-response","9","120961","0.0-9.0","9/8/2023, 4:11:32 PM","conditionO","","13783.299999713898","images/memory_example_1.jpg","0",""
"","instructions","10","125182","0.0-10.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":2560.5},{""page_index"":1,""viewing_time"":1659.6000003814697}]","4220.5","","",""
"","image-button-response","11","129914","0.0-11.0","9/8/2023, 4:11:32 PM","conditionO","","4730.10000038147","images/scrambled_22.jpeg","2",""
"","image-button-response","12","134528","0.0-12.0","9/8/2023, 4:11:32 PM","conditionO","","4613.400000095367","images/order_33.jpeg","0",""
"","image-button-response","13","142224","0.0-13.0","9/8/2023, 4:11:32 PM","conditionO","","7694.900000095367","images/order_22.jpeg","0",""
"","image-button-response","14","149165","0.0-14.0","9/8/2023, 4:11:32 PM","conditionO","","6939.699999809265","images/memory_7.png","1",""
"","image-button-response","15","159756","0.0-15.0","9/8/2023, 4:11:32 PM","conditionO","","10590.400000095367","images/memory_8.png","0",""
"","image-button-response","16","164968","0.0-16.0","9/8/2023, 4:11:32 PM","conditionO","","5211.099999904633","images/memory_9.png","1",""
"","image-button-response","17","169209","0.0-17.0","9/8/2023, 4:11:32 PM","conditionO","","4240","images/order_11.jpeg","0",""
"","image-button-response","18","174658","0.0-18.0","9/8/2023, 4:11:32 PM","conditionO","","5447.099999904633","images/scrambled_11.jpeg","0",""
"","image-button-response","19","177622","0.0-19.0","9/8/2023, 4:11:32 PM","conditionO","","2963.9000000953674","images/non_order_11.jpeg","1",""
"","image-button-response","20","185789","0.0-20.0","9/8/2023, 4:11:32 PM","conditionO","","8166.199999809265","images/memory_11.png","1",""
"","image-button-response","21","190333","0.0-21.0","9/8/2023, 4:11:32 PM","conditionO","","4543.700000286102","images/memory_10.png","1",""
"","image-button-response","22","194427","0.0-22.0","9/8/2023, 4:11:32 PM","conditionO","","4093","images/memory_12.png","0",""
"","image-button-response","23","200063","0.0-23.0","9/8/2023, 4:11:32 PM","conditionO","","5634.300000190735","images/order_44.jpeg","0",""
"","image-button-response","24","206089","0.0-24.0","9/8/2023, 4:11:32 PM","conditionO","","6025","images/non_order_33.jpeg","1",""
"","image-button-response","25","208955","0.0-25.0","9/8/2023, 4:11:32 PM","conditionO","","2865","images/order_55.jpeg","0",""
"","image-button-response","26","280849","0.0-26.0","9/8/2023, 4:11:32 PM","conditionO","","71890.40000009537","images/memory_5.png","0",""
"","image-button-response","27","286662","0.0-27.0","9/8/2023, 4:11:32 PM","conditionO","","5811.799999713898","images/memory_13.png","0",""
"","image-button-response","28","289488","0.0-28.0","9/8/2023, 4:11:32 PM","conditionO","","2825.4000000953674","images/memory_1.png","0",""
"","survey-text","29","293072","0.0-29.0","9/8/2023, 4:11:32 PM","conditionO","","3579.7000002861023","","","{""Q0"":""32""}"
"","survey-text","30","301947","0.0-30.0","9/8/2023, 4:11:32 PM","conditionO","","8868.89999961853","","","{""Q0"":""Female""}"
"","instructions","31","323788","0.0-31.0","9/8/2023, 4:11:32 PM","conditionO","[{""page_index"":0,""viewing_time"":21841.099999904633}]","21841.300000190735","","",""
