"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2279","0.0-0.0","23.8.2023, 0:43:08","conditionC","","","","","","","",""
"","survey-text","1","3047","0.0-1.0","23.8.2023, 0:43:08","conditionC","763.5","{""Q0"":""""}","","","","","",""
"","instructions","2","6507","0.0-2.0","23.8.2023, 0:43:08","conditionC","3458.2000000476837","","[{""page_index"":0,""viewing_time"":702},{""page_index"":1,""viewing_time"":607.4000000357628},{""page_index"":2,""viewing_time"":1232.0999999642372},{""page_index"":3,""viewing_time"":915.6000000238419}]","","","","",""
"","order","3","12587","0.0-3.0","23.8.2023, 0:43:08","conditionC","6078.399999976158","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":944},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":316,""y"":397,""move_time"":704},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":914},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":565},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":477,""y"":397,""move_time"":1259},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":920}]","[{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":316,""y"":397,""move_time"":704},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":477,""y"":397,""move_time"":1259},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":397,""move_time"":565},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":920}]","",""
"","instructions","4","13690","0.0-4.0","23.8.2023, 0:43:08","conditionC","1102.3999999761581","","[{""page_index"":0,""viewing_time"":1102}]","","","","",""
"","order","5","15149","0.0-5.0","23.8.2023, 0:43:08","conditionC","1459","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[]","[]","",""
"","html-button-response","6","16182","0.0-6.0","23.8.2023, 0:43:08","conditionC","1030.5","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","17110","0.0-7.0","23.8.2023, 0:43:08","conditionC","925.5999999642372","{""Q0"":""""}","","","","","",""
"","order","8","18202","0.0-8.0","23.8.2023, 0:43:08","conditionC","1091.6000000238419","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","19146","0.0-9.0","23.8.2023, 0:43:08","conditionC","942.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","2"
