"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","3715","0.0-0.0","23.8.2023, 2:33:43","conditionC","","","","","","","","",""
"","survey-text","1","4739","0.0-1.0","23.8.2023, 2:33:43","conditionC","1022.3999999761581","{""Q0"":""""}","","","","","","",""
"","instructions","2","8411","0.0-2.0","23.8.2023, 2:33:43","conditionC","3671","","[{""page_index"":0,""viewing_time"":906.1999999880791},{""page_index"":1,""viewing_time"":521.0999999642372},{""page_index"":2,""viewing_time"":1278.9000000357628},{""page_index"":3,""viewing_time"":963.8999999761581}]","","","","","",""
"","order","3","21499","0.0-3.0","23.8.2023, 2:33:43","conditionC","13086","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1827},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":477,""y"":397,""move_time"":2317},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":1693},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":960},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397,""move_time"":2047},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397,""move_time"":1094},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":639,""y"":397,""move_time"":1265},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397,""move_time"":1175}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":397}]","8","",""
"","instructions","4","22651","0.0-4.0","23.8.2023, 2:33:43","conditionC","1150.800000011921","","[{""page_index"":0,""viewing_time"":1150.5999999642372}]","","","","","",""
"","order","5","31559","0.0-5.0","23.8.2023, 2:33:43","conditionC","8907","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":397,""move_time"":2399},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397,""move_time"":2034},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":316,""y"":397,""move_time"":1659},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":639,""y"":397,""move_time"":1032},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397,""move_time"":624}]","[{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":397}]","5","",""
"","html-button-response","6","32571","0.0-6.0","23.8.2023, 2:33:43","conditionC","1011.1999999880791","","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","7","33307","0.0-7.0","23.8.2023, 2:33:43","conditionC","733.6999999880791","{""Q0"":""""}","","","","","","",""
"","order","8","34722","0.0-8.0","23.8.2023, 2:33:43","conditionC","1415","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":316,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":477,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":639,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":800,""y"":397}]","0","",""
"","html-button-response","9","35767","0.0-9.0","23.8.2023, 2:33:43","conditionC","1043","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
