"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","7033","0.0-0.0","9/1/2023, 9:44:47 AM","conditionO","","","","","","","","",""
"","instructions","1","25745","0.0-1.0","9/1/2023, 9:44:47 AM","conditionO","[{""page_index"":0,""viewing_time"":6286.699999928474},{""page_index"":1,""viewing_time"":5696},{""page_index"":2,""viewing_time"":5431.899999976158},{""page_index"":3,""viewing_time"":1296.1000000238419}]","18710.899999976158","","","","","","",""
"","order","2","39825","0.0-2.0","9/1/2023, 9:44:47 AM","conditionO","","14079","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":636,""y"":576,""move_time"":8290},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":798,""y"":576,""move_time"":1320},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":798,""y"":576,""move_time"":1336},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":960,""y"":576,""move_time"":1120},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1122,""y"":576,""move_time"":1032}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1122,""y"":576}]","5","","",""
"","instructions","3","41049","0.0-3.0","9/1/2023, 9:44:47 AM","conditionO","[{""page_index"":0,""viewing_time"":1223.1999999284744}]","1223.2999999523163","","","","","","",""
"","order","4","60425","0.0-4.0","9/1/2023, 9:44:47 AM","conditionO","","19375","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":798,""y"":338,""move_time"":14802},{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":636,""y"":576,""move_time"":1123},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":798,""y"":576,""move_time"":998},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":960,""y"":576,""move_time"":914},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":1122,""y"":576,""move_time"":872}]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":1122,""y"":576}]","5","","",""
"","html-button-response","5","62561","0.0-5.0","9/1/2023, 9:44:47 AM","conditionO","","2135.2999999523163","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","6","91801","0.0-6.0","9/1/2023, 9:44:47 AM","conditionO","","29236.099999904633","","","","","","","{""Q0"":""I followed my imagination.""}"
"","order","7","100505","0.0-7.0","9/1/2023, 9:44:47 AM","conditionO","","8703","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":636,""y"":576,""move_time"":4986},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":798,""y"":576,""move_time"":968},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":960,""y"":576,""move_time"":752},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":1122,""y"":576,""move_time"":832}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":1122,""y"":576}]","4","","",""
"","html-button-response","8","102353","0.0-8.0","9/1/2023, 9:44:47 AM","conditionO","","1847.2000000476837","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","9","103777","0.0-9.0","9/1/2023, 9:44:47 AM","conditionO","","1423.1000000238419","","","","","","","{""Q0"":""""}"
