"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","2874","0.0-0.0","9/1/2023, 9:16:52 PM","conditionO","","","","","","","","",""
"","instructions","1","9656","0.0-1.0","9/1/2023, 9:16:52 PM","conditionO","[{""page_index"":0,""viewing_time"":1294.9000000059605},{""page_index"":1,""viewing_time"":1972.800000011921},{""page_index"":2,""viewing_time"":2419.2999999821186},{""page_index"":3,""viewing_time"":1094.300000011921}]","6781.700000017881","","","","","","",""
"","order","2","23548","0.0-2.0","9/1/2023, 9:16:52 PM","conditionO","","13890","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468,""move_time"":8587},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468,""move_time"":1435},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468,""move_time"":1694},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468,""move_time"":1067}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468}]","4","","",""
"","instructions","3","24969","0.0-3.0","9/1/2023, 9:16:52 PM","conditionO","[{""page_index"":0,""viewing_time"":1420.699999988079}]","1420.800000011921","","","","","","",""
"","order","4","35806","0.0-4.0","9/1/2023, 9:16:52 PM","conditionO","","10837","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":444,""y"":468,""move_time"":5807},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":606,""y"":468,""move_time"":1470},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":767,""y"":468,""move_time"":1670},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":929,""y"":468,""move_time"":869}]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":929,""y"":468}]","4","","",""
"","html-button-response","5","37969","0.0-5.0","9/1/2023, 9:16:52 PM","conditionO","","2161.7999999821186","","","","","<p>How difficult was it to order the pictures?</p>","4",""
"","survey-text","6","49751","0.0-6.0","9/1/2023, 9:16:52 PM","conditionO","","11777.700000017881","","","","","","","{""Q0"":""i think he was sad then thought then made a friend""}"
"","order","7","63061","0.0-7.0","9/1/2023, 9:16:52 PM","conditionO","","13309","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":444,""y"":468,""move_time"":9522},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":606,""y"":468,""move_time"":1321},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":767,""y"":468,""move_time"":931},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":929,""y"":468,""move_time"":734}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":929,""y"":468}]","4","","",""
"","html-button-response","8","64707","0.0-8.0","9/1/2023, 9:16:52 PM","conditionO","","1644.5999999940395","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","9","74111","0.0-9.0","9/1/2023, 9:16:52 PM","conditionO","","9403","","","","","","","{""Q0"":""she found an umbrella then went back out in the rain""}"
