"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3267","0.0-0.0","8/27/2023, 11:08:53 PM","conditionO","","","","","","","","",""
"","instructions","1","24048","0.0-1.0","8/27/2023, 11:08:53 PM","conditionO","[{""page_index"":0,""viewing_time"":1426.199999999255},{""page_index"":1,""viewing_time"":6213},{""page_index"":2,""viewing_time"":11592.39999999851},{""page_index"":3,""viewing_time"":1549.4000000022352}]","20781.29999999702","","","","","","",""
"","order","2","48912","0.0-2.0","8/27/2023, 11:08:53 PM","conditionO","","24863","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468,""move_time"":17627},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468,""move_time"":1857},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468,""move_time"":2240},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468,""move_time"":1783}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468}]","4","","",""
"","instructions","3","94250","0.0-3.0","8/27/2023, 11:08:53 PM","conditionO","[{""page_index"":0,""viewing_time"":45336.599999997765}]","45336.79999999702","","","","","","",""
"","order","4","115218","0.0-4.0","8/27/2023, 11:08:53 PM","conditionO","","20968","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":444,""y"":468,""move_time"":5674},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":606,""y"":468,""move_time"":2932},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":606,""y"":230,""move_time"":1906},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":444,""y"":468,""move_time"":2528},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":606,""y"":468,""move_time"":2106},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":767,""y"":468,""move_time"":2748},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":929,""y"":468,""move_time"":1770}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":929,""y"":468}]","7","","",""
"","html-button-response","5","117643","0.0-5.0","8/27/2023, 11:08:53 PM","conditionO","","2424.2999999970198","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","6","134243","0.0-6.0","8/27/2023, 11:08:53 PM","conditionO","","16596.39999999851","","","","","","","{""Q0"":""These pictures explain a story.""}"
"","order","7","200936","0.0-7.0","8/27/2023, 11:08:53 PM","conditionO","","66693","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":929,""y"":230,""move_time"":20990},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":444,""y"":468,""move_time"":8760},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":444,""y"":468,""move_time"":758},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":929,""y"":468,""move_time"":2282},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":444,""y"":230,""move_time"":4518},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":767,""y"":468,""move_time"":4269},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":444,""y"":468,""move_time"":3514},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":606,""y"":468,""move_time"":3067},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":929,""y"":230,""move_time"":3003},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":606,""y"":230,""move_time"":1710},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":444,""y"":230,""move_time"":2934},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":444,""y"":468,""move_time"":2403},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":606,""y"":468,""move_time"":1179},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":767,""y"":468,""move_time"":1249},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":767,""y"":468,""move_time"":1294},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":929,""y"":468,""move_time"":2577}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":929,""y"":468}]","16","","",""
"","html-button-response","8","203224","0.0-8.0","8/27/2023, 11:08:53 PM","conditionO","","2287","","","","","<p>How difficult was it to order the pictures?</p>","3",""
"","survey-text","9","217571","0.0-9.0","8/27/2023, 11:08:53 PM","conditionO","","14346.699999999255","","","","","","","{""Q0"":""This story was harder to put together. ""}"
