"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3917","0.0-0.0","8/24/2023, 12:51:59 PM","conditionO","","","","","","","","",""
"","instructions","1","14205","0.0-1.0","8/24/2023, 12:51:59 PM","conditionO","[{""page_index"":0,""viewing_time"":876.8000000119209},{""page_index"":1,""viewing_time"":3618.100000023842},{""page_index"":2,""viewing_time"":4679.799999952316},{""page_index"":3,""viewing_time"":1112.6000000238419}]","10287.5","","","","","","",""
"","order","2","22870","0.0-2.0","8/24/2023, 12:51:59 PM","conditionO","","8664","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468,""move_time"":5108},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468,""move_time"":982},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468,""move_time"":648},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468,""move_time"":815}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":929,""y"":468}]","4","","",""
"","instructions","3","23902","0.0-3.0","8/24/2023, 12:51:59 PM","conditionO","[{""page_index"":0,""viewing_time"":1031.6000000238419}]","1031.800000011921","","","","","","",""
"","order","4","31087","0.0-4.0","8/24/2023, 12:51:59 PM","conditionO","","7185","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":444,""y"":468,""move_time"":3651},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":606,""y"":468,""move_time"":959},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":767,""y"":468,""move_time"":1074},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":929,""y"":468,""move_time"":832}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":929,""y"":468}]","4","","",""
"","html-button-response","5","32848","0.0-5.0","8/24/2023, 12:51:59 PM","conditionO","","1759.7000000476837","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","6","47663","0.0-6.0","8/24/2023, 12:51:59 PM","conditionO","","14812.399999976158","","","","","","","{""Q0"":""it looked like he would first show up with the fruit, then cut the fruit, then theyd eat the fruit""}"
"","order","7","64231","0.0-7.0","8/24/2023, 12:51:59 PM","conditionO","","16567","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":444,""y"":468,""move_time"":5551},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":606,""y"":468,""move_time"":1193},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":767,""y"":468,""move_time"":1272},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":929,""y"":468,""move_time"":1512}]","[{""src"":""http://34.125.186.26/images/2_5.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/2_8.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":929,""y"":468}]","4","","",""
"","html-button-response","8","65247","0.0-8.0","8/24/2023, 12:51:59 PM","conditionO","","1015.1000000238419","","","","","<p>How difficult was it to order the pictures?</p>","4",""
"","survey-text","9","81401","0.0-9.0","8/24/2023, 12:51:59 PM","conditionO","","16153.399999976158","","","","","","","{""Q0"":""i think first theyd be sad in the rain, get soaked, try to open the umbrella, then the sun would come out""}"
"","order","10","100019","0.0-10.0","8/24/2023, 12:51:59 PM","conditionO","","18617","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":444,""y"":468,""move_time"":4436},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":606,""y"":468,""move_time"":1462},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":767,""y"":468,""move_time"":1600},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":929,""y"":468,""move_time"":913},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":767,""y"":230,""move_time"":5345},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":929,""y"":230,""move_time"":960},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":929,""y"":468,""move_time"":1111},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":606,""y"":468,""move_time"":785},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":767,""y"":468,""move_time"":1072}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":444,""y"":468},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":606,""y"":468},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":767,""y"":468},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":929,""y"":468}]","9","","",""
"","html-button-response","11","101228","0.0-11.0","8/24/2023, 12:51:59 PM","conditionO","","1208.5","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","12","116993","0.0-12.0","8/24/2023, 12:51:59 PM","conditionO","","15763.700000047684","","","","","","","{""Q0"":""i would assume hes watching t.v., the cat gets in the way, he moves the cat, then they sit on the couch together""}"
