"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","3467","0.0-0.0","9/8/2023, 6:15:54 PM","conditionO","","","","",""
"","instructions","1","40175","0.0-1.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":4005.800000000745},{""page_index"":1,""viewing_time"":14538.299999998882},{""page_index"":2,""viewing_time"":5421},{""page_index"":3,""viewing_time"":2275.5},{""page_index"":4,""viewing_time"":2469.5999999996275},{""page_index"":5,""viewing_time"":7996.10000000149}]","36706.699999999255","","",""
"","image-button-response","2","44468","0.0-2.0","9/8/2023, 6:15:54 PM","conditionO","","4291.0999999996275","images/with_no_order_2.jpeg","1",""
"","instructions","3","47009","0.0-3.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":2539.5999999996275}]","2539.9000000003725","","",""
"","image-button-response","4","49442","0.0-4.0","9/8/2023, 6:15:54 PM","conditionO","","2432.5999999996275","images/with_no_no_order_2.jpeg","2",""
"","instructions","5","51301","0.0-5.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":1857.9000000003725}]","1858.0999999996275","","",""
"","image-button-response","6","53626","0.0-6.0","9/8/2023, 6:15:54 PM","conditionO","","2324.2999999988824","images/with_order_2.jpeg","0",""
"","instructions","7","55557","0.0-7.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":1931.1000000014901}]","1931.2000000011176","","",""
"","instructions","8","147684","0.0-8.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":92125.80000000075}]","92126.10000000149","","",""
"","image-button-response","9","164407","0.0-9.0","9/8/2023, 6:15:54 PM","conditionO","","16721.900000000373","images/memory_example_1.jpg","1",""
"","instructions","10","169849","0.0-10.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":2720.0999999996275},{""page_index"":1,""viewing_time"":2720.9000000003725}]","5441.199999999255","","",""
"","image-button-response","11","188897","0.0-11.0","9/8/2023, 6:15:54 PM","conditionO","","19047.5","images/scrambled_22.jpeg","2",""
"","image-button-response","12","193560","0.0-12.0","9/8/2023, 6:15:54 PM","conditionO","","4662.300000000745","images/order_33.jpeg","0",""
"","image-button-response","13","200693","0.0-13.0","9/8/2023, 6:15:54 PM","conditionO","","7131.89999999851","images/order_22.jpeg","0",""
"","image-button-response","14","212873","0.0-14.0","9/8/2023, 6:15:54 PM","conditionO","","12179.200000001118","images/memory_7.png","1",""
"","image-button-response","15","220353","0.0-15.0","9/8/2023, 6:15:54 PM","conditionO","","7478.9000000003725","images/memory_8.png","1",""
"","image-button-response","16","227786","0.0-16.0","9/8/2023, 6:15:54 PM","conditionO","","7431.699999999255","images/memory_9.png","0",""
"","image-button-response","17","241944","0.0-17.0","9/8/2023, 6:15:54 PM","conditionO","","14156.900000000373","images/order_11.jpeg","0",""
"","image-button-response","18","259015","0.0-18.0","9/8/2023, 6:15:54 PM","conditionO","","17070.200000001118","images/scrambled_11.jpeg","2",""
"","image-button-response","19","265910","0.0-19.0","9/8/2023, 6:15:54 PM","conditionO","","6894.0999999996275","images/non_order_11.jpeg","1",""
"","image-button-response","20","271422","0.0-20.0","9/8/2023, 6:15:54 PM","conditionO","","5511.199999999255","images/memory_11.png","0",""
"","image-button-response","21","283517","0.0-21.0","9/8/2023, 6:15:54 PM","conditionO","","12094","images/memory_10.png","1",""
"","image-button-response","22","290554","0.0-22.0","9/8/2023, 6:15:54 PM","conditionO","","7035.5","images/memory_12.png","0",""
"","image-button-response","23","306089","0.0-23.0","9/8/2023, 6:15:54 PM","conditionO","","15534.599999999627","images/order_44.jpeg","0",""
"","image-button-response","24","346668","0.0-24.0","9/8/2023, 6:15:54 PM","conditionO","","40578.5","images/non_order_33.jpeg","1",""
"","image-button-response","25","352696","0.0-25.0","9/8/2023, 6:15:54 PM","conditionO","","6026.299999998882","images/order_55.jpeg","0",""
"","image-button-response","26","359253","0.0-26.0","9/8/2023, 6:15:54 PM","conditionO","","6555.89999999851","images/memory_5.png","0",""
"","image-button-response","27","369214","0.0-27.0","9/8/2023, 6:15:54 PM","conditionO","","9960.800000000745","images/memory_13.png","1",""
"","image-button-response","28","373362","0.0-28.0","9/8/2023, 6:15:54 PM","conditionO","","4147","images/memory_1.png","0",""
"","survey-text","29","378183","0.0-29.0","9/8/2023, 6:15:54 PM","conditionO","","4814.0999999996275","","","{""Q0"":""36""}"
"","survey-text","30","390217","0.0-30.0","9/8/2023, 6:15:54 PM","conditionO","","12027.800000000745","","","{""Q0"":""FEMALE""}"
"","instructions","31","447904","0.0-31.0","9/8/2023, 6:15:54 PM","conditionO","[{""page_index"":0,""viewing_time"":57685.699999999255}]","57685.800000000745","","",""
