"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","6486","0.0-0.0","9/4/2023, 2:01:31 PM","conditionS","","","","",""
"","instructions","1","30757","0.0-1.0","9/4/2023, 2:01:31 PM","conditionS","[{""page_index"":0,""viewing_time"":1472},{""page_index"":1,""viewing_time"":7468},{""page_index"":2,""viewing_time"":4714},{""page_index"":3,""viewing_time"":3362},{""page_index"":4,""viewing_time"":2624},{""page_index"":5,""viewing_time"":4628}]","24268","","",""
"","image-button-response","2","42250","0.0-2.0","9/4/2023, 2:01:31 PM","conditionS","","11492","images/with_no_order_2.jpeg","1",""
"","image-button-response","3","44831","0.0-3.0","9/4/2023, 2:01:31 PM","conditionS","","2579","images/with_no_no_order_2.jpeg","2",""
"","image-button-response","4","47159","0.0-4.0","9/4/2023, 2:01:31 PM","conditionS","","2327","images/with_order_2.jpeg","0",""
"","instructions","5","49910","0.0-5.0","9/4/2023, 2:01:31 PM","conditionS","[{""page_index"":0,""viewing_time"":2749}]","2749","","",""
"","image-button-response","6","57960","0.0-6.0","9/4/2023, 2:01:31 PM","conditionS","","8049","images/memory_example_1.jpg","0",""
"","instructions","7","63097","0.0-7.0","9/4/2023, 2:01:31 PM","conditionS","[{""page_index"":0,""viewing_time"":2772},{""page_index"":1,""viewing_time"":2363}]","5135","","",""
"","image-button-response","8","74942","0.0-8.0","9/4/2023, 2:01:31 PM","conditionS","","11845","images/non_order_2.jpeg","1",""
"","image-button-response","9","78329","0.0-9.0","9/4/2023, 2:01:31 PM","conditionS","","3386","images/scrambled_2.jpeg","2",""
"","image-button-response","10","92685","0.0-10.0","9/4/2023, 2:01:31 PM","conditionS","","14356","images/order_2.jpeg","1",""
"","image-button-response","11","97484","0.0-11.0","9/4/2023, 2:01:31 PM","conditionS","","4797","images/memory_1.png","1",""
"","image-button-response","12","100619","0.0-12.0","9/4/2023, 2:01:31 PM","conditionS","","3133","images/memory_2.png","1",""
"","image-button-response","13","107386","0.0-13.0","9/4/2023, 2:01:31 PM","conditionS","","6764","images/memory_3.png","1",""
"","image-button-response","14","125155","0.0-14.0","9/4/2023, 2:01:31 PM","conditionS","","17767","images/scrambled_1.jpeg","0",""
"","image-button-response","15","131954","0.0-15.0","9/4/2023, 2:01:31 PM","conditionS","","6797","images/non_order_1.jpeg","1",""
"","image-button-response","16","155754","0.0-16.0","9/4/2023, 2:01:31 PM","conditionS","","23800","images/order_1.jpeg","0",""
"","image-button-response","17","158872","0.0-17.0","9/4/2023, 2:01:31 PM","conditionS","","3117","images/memory_4.png","1",""
"","image-button-response","18","169039","0.0-18.0","9/4/2023, 2:01:31 PM","conditionS","","10166","images/memory_5.png","1",""
"","image-button-response","19","181165","0.0-19.0","9/4/2023, 2:01:31 PM","conditionS","","12125","images/memory_6.png","1",""
"","survey-text","20","184387","0.0-20.0","9/4/2023, 2:01:31 PM","conditionS","","3214","","","{""Q0"":""31""}"
"","survey-text","21","190065","0.0-21.0","9/4/2023, 2:01:31 PM","conditionS","","5670","","","{""Q0"":""FEMALE""}"
"","instructions","22","209205","0.0-22.0","9/4/2023, 2:01:31 PM","conditionS","[{""page_index"":0,""viewing_time"":19138}]","19139","","",""
