"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2294","0.0-0.0","12.9.2023, 2:16:53","conditionO","","","","","",""
"","call-function","1","2295","0.0-1.0","12.9.2023, 2:16:53","conditionO","","","","","",""
"","instructions","2","6507","0.0-2.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":894},{""page_index"":1,""viewing_time"":687.6999999992549},{""page_index"":2,""viewing_time"":839.9000000003725},{""page_index"":3,""viewing_time"":584.5},{""page_index"":4,""viewing_time"":407.79999999981374},{""page_index"":5,""viewing_time"":796.2999999998137}]","4211.5999999996275","","",""
"","image-button-response","3","7402","0.0-3.0","12.9.2023, 2:16:53","conditionO","","","893","images/with_no_order_2.jpeg","2",""
"","instructions","4","8413","0.0-4.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":1010.2000000001863}]","1010.5","","",""
"","image-button-response","5","9278","0.0-5.0","12.9.2023, 2:16:53","conditionO","","","864.4000000003725","images/with_no_no_order_2.jpeg","1",""
"","instructions","6","10286","0.0-6.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":1006.6000000005588}]","1007.1000000005588","","",""
"","image-button-response","7","11550","0.0-7.0","12.9.2023, 2:16:53","conditionO","","","1262.7999999998137","images/with_order_2.jpeg","1",""
"","instructions","8","12377","0.0-8.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":826.9000000003725}]","827.1000000005588","","",""
"","instructions","9","13241","0.0-9.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":862.7999999998137}]","863.0999999996275","","",""
"","image-button-response","10","14217","0.0-10.0","12.9.2023, 2:16:53","conditionO","","","975.4000000003725","images/memory_example_1.jpg","1",""
"","instructions","11","15758","0.0-11.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":771.2000000001863},{""page_index"":1,""viewing_time"":768.7000000001863}]","1540.1000000005588","","",""
"","image-button-response","12","16694","0.0-12.0","12.9.2023, 2:16:53","conditionO","","","935","images/non_order_2.jpeg","2",""
"","image-button-response","13","18026","0.0-13.0","12.9.2023, 2:16:53","conditionO","","","1330.1000000005588","images/scrambled_2.jpeg","2",""
"","image-button-response","14","19633","0.0-14.0","12.9.2023, 2:16:53","conditionO","","","1606.4000000003725","images/order_2.jpeg","2",""
"","image-button-response","15","20662","0.0-15.0","12.9.2023, 2:16:53","conditionO","","","1027.9000000003725","images/memory_1.png","1",""
"","image-button-response","16","21309","0.0-16.0","12.9.2023, 2:16:53","conditionO","","","646.2999999998137","images/memory_2.png","1",""
"","image-button-response","17","22085","0.0-17.0","12.9.2023, 2:16:53","conditionO","","","774.9000000003725","images/memory_3.png","1",""
"","image-button-response","18","23073","0.0-18.0","12.9.2023, 2:16:53","conditionO","","","986.7999999998137","images/scrambled_1.jpeg","1",""
"","image-button-response","19","23810","0.0-19.0","12.9.2023, 2:16:53","conditionO","","","735","images/order_1.jpeg","2",""
"","image-button-response","20","24498","0.0-20.0","12.9.2023, 2:16:53","conditionO","","","686.5999999996275","images/non_order_1.jpeg","1",""
"","image-button-response","21","25369","0.0-21.0","12.9.2023, 2:16:53","conditionO","","","870.7999999998137","images/memory_4.png","1",""
"","image-button-response","22","25945","0.0-22.0","12.9.2023, 2:16:53","conditionO","","","574.3999999994412","images/memory_6.png","1",""
"","image-button-response","23","26542","0.0-23.0","12.9.2023, 2:16:53","conditionO","","","595","images/memory_5.png","1",""
"","image-button-response","24","27621","0.0-24.0","12.9.2023, 2:16:53","conditionO","","","1077.7999999998137","images/non_order_44.jpeg","1",""
"","image-button-response","25","28150","0.0-25.0","12.9.2023, 2:16:53","conditionO","","","526.7999999998137","images/non_order_22.jpeg","1",""
"","image-button-response","26","28829","0.0-26.0","12.9.2023, 2:16:53","conditionO","","","677.7000000001863","images/order_66.jpeg","1",""
"","image-button-response","27","30185","0.0-27.0","12.9.2023, 2:16:53","conditionO","","","1354.9000000003725","images/memory_14.jpg","1",""
"","image-button-response","28","30753","0.0-28.0","12.9.2023, 2:16:53","conditionO","","","566.9000000003725","images/memory_15.jpg","1",""
"","image-button-response","29","31346","0.0-29.0","12.9.2023, 2:16:53","conditionO","","","591","images/memory_16.png","1",""
"","survey-text","30","35514","0.0-30.0","12.9.2023, 2:16:53","conditionO","","","4160.299999999814","","","{""Q0"":""iddo""}"
"","survey-text","31","37838","0.0-31.0","12.9.2023, 2:16:53","conditionO","","","2317.100000000559","","","{""Q0"":""iddo""}"
"","instructions","32","38576","0.0-32.0","12.9.2023, 2:16:53","conditionO","","[{""page_index"":0,""viewing_time"":736.7999999998137}]","737.0999999996275","","",""
