PID,practice,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt
74889,1,1,1500,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,NaN,NA,NA,NA
74889,1,2,1000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,NaN,NA,NA,NA
74889,1,3,3000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,NaN,NA,NA,NA
74889,0,4,1000,B,intact,B,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,5,1000,NaN,recombined,C,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,6,1000,L,intact,L,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,7,1000,A,intact,A,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,8,1000,NaN,recombined,B,NA,NA,NaN,NaN,1,0,NA,NA,NA
74889,0,9,2000,NaN,recombined,K,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,10,1500,NaN,recombined,J,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,11,3000,G,intact,G,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,12,2000,NaN,recombined,L,NA,NA,NaN,NaN,1,0,NA,NA,NA
74889,0,13,1000,NaN,recombined,A,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,14,3000,H,intact,H,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,15,1000,K,intact,K,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,16,2000,C,intact,C,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,17,3000,NaN,recombined,E,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,18,1500,F,intact,F,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,19,2000,D,intact,D,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,20,1000,NaN,recombined,D,NA,NA,NaN,NaN,0,0,NA,NA,NA
74889,0,21,1500,E,intact,E,NA,NA,NaN,NaN,0,1,NA,NA,NA
74889,0,22,1500,NaN,recombined,I,NA,NA,NaN,NaN,1,0,NA,NA,NA
74889,0,23,3500,I,intact,I,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,24,3000,NaN,recombined,F,NA,NA,NaN,NaN,1,0,NA,NA,NA
74889,0,25,1500,NaN,recombined,H,NA,NA,NaN,NaN,1,0,NA,NA,NA
74889,0,26,3500,J,intact,J,NA,NA,NaN,NaN,1,1,NA,NA,NA
74889,0,27,1500,NaN,recombined,G,NA,NA,NaN,NaN,1,0,NA,NA,NA
