PID,practice,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt,left_category,right_category
99216,1,1,1500,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99216,1,2,1000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99216,1,3,3000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99216,0,4,3000,NaN,recombined,E,58,31,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,1,0,NaN,NaN,NaN,objects,faces
99216,0,5,3500,I,intact,I,42,18,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,outdoor_scenes
99216,0,6,2000,D,intact,D,57,31,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,1,1,NaN,NaN,NaN,objects,faces
99216,0,7,1500,NaN,recombined,H,25,51,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,1,0,NaN,NaN,NaN,faces,objects
99216,0,8,1500,NaN,recombined,I,13,42,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,0,0,NaN,NaN,NaN,outdoor_scenes,body_parts
99216,0,9,3500,J,intact,J,33,51,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,1,1,NaN,NaN,NaN,faces,objects
99216,0,10,1000,NaN,recombined,B,37,19,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,0,0,NaN,NaN,NaN,body_parts,outdoor_scenes
99216,0,11,2000,C,intact,C,21,37,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,1,1,NaN,NaN,NaN,outdoor_scenes,body_parts
99216,0,12,1500,NaN,recombined,G,35,55,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,0,0,NaN,NaN,NaN,faces,objects
99216,0,13,1000,NaN,recombined,C,36,21,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,0,0,NaN,NaN,NaN,body_parts,outdoor_scenes
99216,0,14,3000,H,intact,H,25,22,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,1,1,NaN,NaN,NaN,faces,outdoor_scenes
99216,0,15,1000,L,intact,L,45,35,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,faces
99216,0,16,2000,NaN,recombined,K,47,22,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,1,0,NaN,NaN,NaN,body_parts,outdoor_scenes
99216,0,17,1000,A,intact,A,20,56,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,1,1,NaN,NaN,NaN,outdoor_scenes,objects
99216,0,18,1500,E,intact,E,58,36,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,1,1,NaN,NaN,NaN,objects,body_parts
99216,0,19,3000,G,intact,G,55,13,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,1,1,NaN,NaN,NaN,objects,outdoor_scenes
99216,0,20,1000,NaN,recombined,A,20,38,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,1,0,NaN,NaN,NaN,outdoor_scenes,body_parts
99216,0,21,1000,B,intact,B,19,28,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,1,1,NaN,NaN,NaN,outdoor_scenes,faces
99216,0,22,1000,K,intact,K,47,53,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,objects
99216,0,23,1500,NaN,recombined,J,56,33,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,0,0,NaN,NaN,NaN,objects,faces
99216,0,24,2000,NaN,recombined,L,45,18,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,1,0,NaN,NaN,NaN,body_parts,outdoor_scenes
99216,0,25,1500,F,intact,F,26,38,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,1,1,NaN,NaN,NaN,faces,body_parts
99216,0,26,1000,NaN,recombined,D,28,57,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,0,0,NaN,NaN,NaN,faces,objects
99216,0,27,3000,NaN,recombined,F,26,53,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,1,0,NaN,NaN,NaN,faces,objects
