PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,left_category,right_category,pairs_rt,old_response,no_response
1234,1,0,0,1,NaN,NaN,NaN,NaN,NaN,1500,NA,NA,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,0,NaN,NaN,NaN,1092,1,0
1234,1,0,0,2,NaN,NaN,NaN,NaN,NaN,1000,NA,NA,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,0,NaN,NaN,NaN,211,1,0
1234,1,0,0,3,NaN,NaN,NaN,NaN,NaN,3000,NA,NA,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,0,NaN,NaN,NaN,127,1,0
1234,0,1,1,4,recombined,0,0,NaN,K,2000,12,37,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,0,NaN,outdoor_scenes,body_parts,353,1,0
1234,0,1,1,5,recombined,0,1,NaN,I,1500,40,17,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,0,NaN,body_parts,outdoor_scenes,,NaN,1
1234,0,1,1,6,intact,1,1,H,H,1000,25,12,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,1,NaN,faces,outdoor_scenes,253,1,0
1234,0,1,1,7,intact,1,1,G,G,1000,58,17,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,1,NaN,objects,outdoor_scenes,330,1,0
1234,0,1,1,8,intact,1,1,A,A,3000,18,50,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,NaN,0,NaN,outdoor_scenes,objects,,NaN,1
1234,0,1,1,9,intact,1,1,K,K,3000,37,55,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,NaN,0,NaN,body_parts,objects,,NaN,1
1234,0,1,1,10,recombined,0,0,NaN,G,1000,33,58,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,0,NaN,faces,objects,,NaN,1
