PID,phase,run,trial,event,onset,duration
12,deliberation,0,0,choice,0,1
12,deliberation,0,0,no_response,1,0.5
12,deliberation,0,0,iti,1.5,1
12,deliberation,0,0,choice,2.5,0.269
12,deliberation,0,0,confirmation,2.769,0.731
12,deliberation,0,0,iti,3.5,1
12,deliberation,0,1,choice,4.5,2.559
12,deliberation,0,1,scramble_instruction,7.059,0.438
12,deliberation,0,1,confirmation,7.497,-1.997
12,deliberation,0,1,iti,5.5,2.5
12,deliberation,0,2,choice,8,1.45
12,deliberation,0,2,scramble_instruction,9.45,0.302
12,deliberation,0,2,confirmation,9.751999999999999,-0.752
12,deliberation,0,2,iti,8.999999999999998,3
12,deliberation,0,3,choice,11.999999999999998,0.19
12,deliberation,0,3,confirmation,12.189999999999998,0.81
12,deliberation,0,3,iti,12.999999999999998,2
12,deliberation,1,4,choice,0,1.443
12,deliberation,1,4,scramble_instruction,1.443,0.27
12,deliberation,1,4,confirmation,1.713,-0.713
12,deliberation,1,4,iti,1,1
12,deliberation,1,5,choice,2,0.109
12,deliberation,1,5,confirmation,2.109,0.891
12,deliberation,1,5,iti,3,3
12,deliberation,1,6,choice,6,1
12,deliberation,1,6,no_response,7,0.5
12,deliberation,1,6,iti,7.5,1
12,deliberation,1,7,choice,8.5,0.454
12,deliberation,1,7,confirmation,8.954,0.546
12,deliberation,1,7,iti,9.5,1
12,deliberation,1,8,choice,10.5,0.957
12,deliberation,1,8,scramble_instruction,11.457,0.598
12,deliberation,1,8,confirmation,12.055000000000001,-0.555
12,deliberation,1,8,iti,11.500000000000002,1.5
12,deliberation,1,9,choice,13.000000000000002,1.368
12,deliberation,1,9,scramble_instruction,14.368000000000002,0.345
12,deliberation,1,9,confirmation,14.713000000000003,-0.713
12,deliberation,1,9,iti,14.000000000000004,2.5
12,deliberation,1,10,choice,16.500000000000004,1.778
12,deliberation,1,10,scramble_instruction,18.278000000000002,0.383
12,deliberation,1,10,confirmation,18.661,-1.161
12,deliberation,1,10,iti,17.5,1
12,deliberation,1,11,choice,18.5,0.223
12,deliberation,1,11,confirmation,18.723,0.777
12,deliberation,1,11,iti,19.5,1.5
12,deliberation,1,12,choice,21,0.321
12,deliberation,1,12,confirmation,21.321,0.679
12,deliberation,1,12,iti,22,3.5
12,deliberation,1,13,choice,25.5,0.358
12,deliberation,1,13,confirmation,25.858,0.642
12,deliberation,1,13,iti,26.5,3
12,deliberation,1,14,choice,29.5,0.109
12,deliberation,1,14,confirmation,29.609,0.891
12,deliberation,1,14,iti,30.5,1
12,deliberation,1,15,choice,31.5,1.978
12,deliberation,1,15,scramble_instruction,33.478,0.561
12,deliberation,1,15,confirmation,34.039,-1.539
12,deliberation,1,15,iti,32.5,3
12,deliberation,1,16,choice,35.5,1.54
12,deliberation,1,16,scramble_instruction,37.04,0.814
12,deliberation,1,16,confirmation,37.854,-1.354
12,deliberation,1,16,iti,36.5,1
12,deliberation,1,17,choice,37.5,0.425
12,deliberation,1,17,confirmation,37.925,0.575
12,deliberation,1,17,iti,38.5,1.5
12,deliberation,1,18,choice,40,0.996
12,deliberation,1,18,scramble_instruction,40.996,0.318
12,deliberation,1,18,confirmation,41.314,-0.314
12,deliberation,1,18,iti,41,3.5
12,deliberation,1,19,choice,44.5,1.729
12,deliberation,1,19,scramble_instruction,46.229,0.366
12,deliberation,1,19,confirmation,46.595,-1.095
12,deliberation,1,19,iti,45.5,1
12,deliberation,1,20,choice,46.5,1.135
12,deliberation,1,20,scramble_instruction,47.635,0.182
12,deliberation,1,20,confirmation,47.817,-0.317
12,deliberation,1,20,iti,47.5,2
12,deliberation,1,21,choice,49.5,1.677
12,deliberation,1,21,scramble_instruction,51.177,0.214
12,deliberation,1,21,confirmation,51.391,-0.891
12,deliberation,1,21,iti,50.5,1.5
12,deliberation,1,22,choice,52,1.788
12,deliberation,1,22,scramble_instruction,53.788,0.184
12,deliberation,1,22,confirmation,53.971999999999994,-0.972
12,deliberation,1,22,iti,52.99999999999999,2
12,deliberation,1,23,choice,54.99999999999999,0.067
12,deliberation,1,23,confirmation,55.06699999999999,0.933
12,deliberation,1,23,iti,55.99999999999999,2
12,deliberation,1,24,choice,57.99999999999999,0.154
12,deliberation,1,24,confirmation,58.153999999999996,0.846
12,deliberation,1,24,iti,58.99999999999999,1
12,deliberation,1,25,choice,59.99999999999999,1.873
12,deliberation,1,25,scramble_instruction,61.87299999999999,0.214
12,deliberation,1,25,confirmation,62.08699999999999,-1.087
12,deliberation,1,25,iti,60.999999999999986,1.5
12,deliberation,1,26,choice,62.499999999999986,0.32
12,deliberation,1,26,confirmation,62.819999999999986,0.68
12,deliberation,1,26,iti,63.499999999999986,1
12,deliberation,1,27,choice,64.49999999999999,0.206
12,deliberation,1,27,confirmation,64.70599999999999,0.794
12,deliberation,1,27,iti,65.49999999999999,2
12,deliberation,1,28,choice,67.49999999999999,0.186
12,deliberation,1,28,confirmation,67.68599999999999,0.814
12,deliberation,1,28,iti,68.49999999999999,3
12,deliberation,1,29,choice,71.49999999999999,0.075
12,deliberation,1,29,confirmation,71.57499999999999,0.925
12,deliberation,1,29,iti,72.49999999999999,2
12,deliberation,1,30,choice,74.49999999999999,0.241
12,deliberation,1,30,confirmation,74.74099999999999,0.759
12,deliberation,1,30,iti,75.49999999999999,1.5
12,deliberation,1,31,choice,76.99999999999999,1.739
12,deliberation,1,31,scramble_instruction,78.73899999999999,0.669
12,deliberation,1,31,confirmation,79.40799999999999,-1.408
12,deliberation,1,31,iti,77.99999999999999,2
12,deliberation,1,32,choice,79.99999999999999,1.297
12,deliberation,1,32,scramble_instruction,81.29699999999998,0.389
12,deliberation,1,32,confirmation,81.68599999999998,-0.686
12,deliberation,1,32,iti,80.99999999999997,1
12,deliberation,1,33,choice,81.99999999999997,1.396
12,deliberation,1,33,scramble_instruction,83.39599999999997,0.431
12,deliberation,1,33,confirmation,83.82699999999997,-0.827
12,deliberation,1,33,iti,82.99999999999997,3.5
12,deliberation,1,34,choice,86.49999999999997,0.218
12,deliberation,1,34,scramble_instruction,86.71799999999998,0.494
12,deliberation,1,34,confirmation,87.21199999999997,0.288
12,deliberation,1,34,iti,87.49999999999997,3
12,deliberation,1,35,choice,90.49999999999997,1.772
12,deliberation,1,35,scramble_instruction,92.27199999999998,0.366
12,deliberation,1,35,confirmation,92.63799999999998,-1.138
12,deliberation,1,35,iti,91.49999999999997,1
12,deliberation,1,36,choice,92.49999999999997,0.654
12,deliberation,1,36,scramble_instruction,93.15399999999997,0.509
12,deliberation,1,36,confirmation,93.66299999999997,-0.163
12,deliberation,1,36,iti,93.49999999999997,1
12,deliberation,1,37,choice,94.49999999999997,1.129
12,deliberation,1,37,scramble_instruction,95.62899999999998,0.263
12,deliberation,1,37,confirmation,95.89199999999998,-0.392
12,deliberation,1,37,iti,95.49999999999999,2
12,deliberation,1,38,choice,97.49999999999999,0.164
12,deliberation,1,38,confirmation,97.66399999999999,0.836
12,deliberation,1,38,iti,98.49999999999999,1.5
12,deliberation,1,39,choice,99.99999999999999,1.185
12,deliberation,1,39,scramble_instruction,101.18499999999999,0.665
12,deliberation,1,39,confirmation,101.85,-0.85
12,deliberation,1,39,iti,101,1
12,deliberation,1,40,choice,102,0.482
12,deliberation,1,40,confirmation,102.482,0.518
12,deliberation,1,40,iti,103,3
12,deliberation,1,41,choice,106,0.003
12,deliberation,1,41,confirmation,106.003,0.997
12,deliberation,1,41,iti,107,3.5
12,deliberation,1,42,choice,110.5,1.187
12,deliberation,1,42,scramble_instruction,111.687,0.59
12,deliberation,1,42,confirmation,112.277,-0.777
12,deliberation,1,42,iti,111.5,3
12,deliberation,1,43,choice,114.5,1.524
12,deliberation,1,43,scramble_instruction,116.024,0.696
12,deliberation,1,43,confirmation,116.72,-1.22
12,deliberation,1,43,iti,115.5,1.5
12,deliberation,1,44,choice,117,0.42
12,deliberation,1,44,confirmation,117.42,0.58
12,deliberation,1,44,iti,118,2
12,deliberation,1,45,choice,120,1.787
12,deliberation,1,45,scramble_instruction,121.787,0.349
12,deliberation,1,45,confirmation,122.13600000000001,-1.136
12,deliberation,1,45,iti,121.00000000000001,1.5
12,deliberation,1,46,choice,122.50000000000001,0.475
12,deliberation,1,46,scramble_instruction,122.97500000000001,0.565
12,deliberation,1,46,confirmation,123.54,-0.04
12,deliberation,1,46,iti,123.5,1.5
12,deliberation,1,47,choice,125,0.419
12,deliberation,1,47,confirmation,125.419,0.581
12,deliberation,1,47,iti,126,1
12,deliberation,1,48,choice,127,0.201
12,deliberation,1,48,confirmation,127.201,0.799
12,deliberation,1,48,iti,128,1
12,deliberation,1,49,choice,129,0.228
12,deliberation,1,49,confirmation,129.228,0.772
12,deliberation,1,49,iti,130,1
12,deliberation,1,50,choice,131,0.099
12,deliberation,1,50,confirmation,131.099,0.901
12,deliberation,1,50,iti,132,1
12,deliberation,1,51,choice,133,0.435
12,deliberation,1,51,confirmation,133.435,0.565
12,deliberation,1,51,iti,134,1.5
12,deliberation,2,52,choice,0,1.45
12,deliberation,2,52,scramble_instruction,1.45,0.535
12,deliberation,2,52,confirmation,1.9849999999999999,-0.985
12,deliberation,2,52,iti,0.9999999999999999,1
12,deliberation,2,53,choice,2,0.421
12,deliberation,2,53,scramble_instruction,2.421,0.312
12,deliberation,2,53,confirmation,2.7329999999999997,0.267
12,deliberation,2,53,iti,2.9999999999999996,3.5
12,deliberation,2,54,choice,6.5,0.056
12,deliberation,2,54,confirmation,6.556,0.944
12,deliberation,2,54,iti,7.5,1.5
12,deliberation,2,55,choice,9,1.225
12,deliberation,2,55,scramble_instruction,10.225,0.47
12,deliberation,2,55,confirmation,10.695,-0.695
12,deliberation,2,55,iti,10,3
12,deliberation,2,56,choice,13,0.236
12,deliberation,2,56,confirmation,13.236,0.764
12,deliberation,2,56,iti,14,2
12,deliberation,2,57,choice,16,0.674
12,deliberation,2,57,scramble_instruction,16.674,0.567
12,deliberation,2,57,confirmation,17.241,-0.241
12,deliberation,2,57,iti,17,1.5
12,deliberation,2,58,choice,18.5,0.226
12,deliberation,2,58,confirmation,18.726,0.774
12,deliberation,2,58,iti,19.5,1.5
12,deliberation,2,59,choice,21,0.643
12,deliberation,2,59,scramble_instruction,21.643,0.527
12,deliberation,2,59,confirmation,22.17,-0.17
12,deliberation,2,59,iti,22,2
12,deliberation,2,60,choice,24,0.196
12,deliberation,2,60,confirmation,24.196,0.804
12,deliberation,2,60,iti,25,3
12,deliberation,2,61,choice,28,1.092
12,deliberation,2,61,scramble_instruction,29.092,0.999
12,deliberation,2,61,confirmation,30.090999999999998,-1.091
12,deliberation,2,61,iti,28.999999999999996,3
12,deliberation,2,62,choice,31.999999999999996,0.283
12,deliberation,2,62,confirmation,32.282999999999994,0.717
12,deliberation,2,62,iti,32.99999999999999,2
12,deliberation,2,63,choice,34.99999999999999,0.229
12,deliberation,2,63,confirmation,35.22899999999999,0.771
12,deliberation,2,63,iti,35.99999999999999,1
12,deliberation,2,64,choice,36.99999999999999,1.951
12,deliberation,2,64,scramble_instruction,38.95099999999999,0.404
12,deliberation,2,64,confirmation,39.355,-1.355
12,deliberation,2,64,iti,38,1
12,deliberation,2,65,choice,39,1.293
12,deliberation,2,65,scramble_instruction,40.293,0.398
12,deliberation,2,65,confirmation,40.691,-0.691
12,deliberation,2,65,iti,40,2
12,deliberation,2,66,choice,42,1.515
12,deliberation,2,66,scramble_instruction,43.515,0.357
12,deliberation,2,66,confirmation,43.872,-0.872
12,deliberation,2,66,iti,43,1.5
12,deliberation,2,67,choice,44.5,1.058
12,deliberation,2,67,scramble_instruction,45.558,0.243
12,deliberation,2,67,confirmation,45.801,-0.301
12,deliberation,2,67,iti,45.5,1
12,deliberation,2,68,choice,46.5,0.617
12,deliberation,2,68,scramble_instruction,47.117,0.21
12,deliberation,2,68,confirmation,47.327,0.173
12,deliberation,2,68,iti,47.5,1.5
12,deliberation,2,69,choice,49,0.108
12,deliberation,2,69,confirmation,49.108,0.892
12,deliberation,2,69,iti,50,1.5
12,deliberation,2,70,choice,51.5,0.004
12,deliberation,2,70,confirmation,51.504,0.996
12,deliberation,2,70,iti,52.5,1
12,deliberation,2,71,choice,53.5,0.025
12,deliberation,2,71,confirmation,53.525,0.975
12,deliberation,2,71,iti,54.5,1
12,deliberation,2,72,choice,55.5,1.199
12,deliberation,2,72,scramble_instruction,56.699,0.398
12,deliberation,2,72,confirmation,57.097,-0.597
12,deliberation,2,72,iti,56.5,1
