PID,phase,trial,event,onset,duration
1,deliberation,0,choice,0,0.885
1,deliberation,0,confirmation,0.885,0.115
1,deliberation,0,iti,1,1.5
1,deliberation,1,choice,2.5,2.559
1,deliberation,1,scramble_instruction,5.059,491
1,deliberation,1,confirmation,496.059,-2.05
1,deliberation,1,iti,494.009,2.5
1,deliberation,2,choice,496.509,1.45
1,deliberation,2,scramble_instruction,497.959,298
1,deliberation,2,confirmation,795.9590000000001,-0.748
1,deliberation,2,iti,795.211,3
1,deliberation,3,choice,798.211,0.119
1,deliberation,3,confirmation,798.33,0.881
1,deliberation,3,iti,799.211,2
1,deliberation,4,choice,0,1.371
1,deliberation,4,scramble_instruction,1.371,229
1,deliberation,4,confirmation,230.371,-0.6
1,deliberation,4,iti,229.77100000000002,3
1,deliberation,5,choice,232.77100000000002,0.764
1,deliberation,5,scramble_instruction,233.53500000000003,258
1,deliberation,5,confirmation,491.535,-0.022
1,deliberation,5,iti,491.51300000000003,1
1,deliberation,6,choice,492.51300000000003,1.371
1,deliberation,6,scramble_instruction,493.884,200
1,deliberation,6,confirmation,693.884,-0.571
1,deliberation,6,iti,693.313,1.5
1,deliberation,7,choice,694.813,0.103
1,deliberation,7,confirmation,694.9159999999999,0.897
1,deliberation,7,iti,695.813,1
1,deliberation,8,choice,696.813,0.139
1,deliberation,8,confirmation,696.952,0.861
1,deliberation,8,iti,697.813,3.5
1,deliberation,9,choice,701.313,1.634
1,deliberation,9,scramble_instruction,702.947,225
1,deliberation,9,confirmation,927.947,-0.859
1,deliberation,9,iti,927.088,3
1,deliberation,10,choice,930.088,0.088
1,deliberation,10,confirmation,930.1759999999999,0.912
1,deliberation,10,iti,931.088,1
1,deliberation,11,choice,932.088,1.381
1,deliberation,11,scramble_instruction,933.4689999999999,250
1,deliberation,11,confirmation,1183.469,-0.631
1,deliberation,11,iti,1182.838,1.5
1,deliberation,12,choice,1184.338,0.098
1,deliberation,12,confirmation,1184.436,0.902
1,deliberation,12,iti,1185.338,2
1,deliberation,13,choice,1187.338,1
1,deliberation,13,no_response,1188.338,0.5
1,deliberation,13,iti,1188.838,0.5
1,deliberation,14,choice,1189.338,0.844
1,deliberation,14,scramble_instruction,1190.182,1000
1,deliberation,14,no_response,2190.182,0.5
1,deliberation,14,iti,2190.682,0.5
1,deliberation,15,choice,2191.182,1.609
1,deliberation,15,scramble_instruction,2192.7909999999997,1000
1,deliberation,15,no_response,3192.7909999999997,0.5
1,deliberation,15,iti,3193.2909999999997,0.5
1,deliberation,16,choice,3193.7909999999997,1.426
1,deliberation,16,scramble_instruction,3195.2169999999996,1000
1,deliberation,16,no_response,4195.217,0.5
1,deliberation,16,iti,4195.717,1
1,deliberation,17,choice,4196.717,1.962
1,deliberation,17,scramble_instruction,4198.679,1000
1,deliberation,17,no_response,5198.679,0.5
1,deliberation,17,iti,5199.179,3
1,deliberation,18,choice,5202.179,1
1,deliberation,18,no_response,5203.179,0.5
1,deliberation,18,iti,5203.679,0.5
1,deliberation,19,choice,5204.179,1
1,deliberation,19,no_response,5205.179,0.5
1,deliberation,19,iti,5205.679,1
1,deliberation,20,choice,5206.679,1
1,deliberation,20,no_response,5207.679,0.5
1,deliberation,20,iti,5208.179,1
1,deliberation,21,choice,5209.179,1
1,deliberation,21,no_response,5210.179,0.5
1,deliberation,21,iti,5210.679,2.5
1,deliberation,22,choice,5213.179,0.408
1,deliberation,22,confirmation,5213.587,0.592
1,deliberation,22,iti,5214.179,1.5
1,deliberation,23,choice,5215.679,1.418
1,deliberation,23,scramble_instruction,5217.097,226
1,deliberation,23,confirmation,5443.097,-0.644
1,deliberation,23,iti,5442.4529999999995,2
1,deliberation,24,choice,5444.4529999999995,1.726
1,deliberation,24,scramble_instruction,5446.178999999999,335
1,deliberation,24,confirmation,5781.178999999999,-1.061
1,deliberation,24,iti,5780.1179999999995,1
1,deliberation,25,choice,5781.1179999999995,1.617
1,deliberation,25,scramble_instruction,5782.735,472
1,deliberation,25,confirmation,6254.735,-1.089
1,deliberation,25,iti,6253.646,2
1,deliberation,26,choice,6255.646,0.158
1,deliberation,26,confirmation,6255.804,0.842
1,deliberation,26,iti,6256.646,2
1,deliberation,27,choice,6258.646,0.157
