PID,phase,run,trial,event,onset,duration
1234,deliberation,0,0,choice,0,1
1234,deliberation,0,0,no_response,1,0.5
1234,deliberation,0,0,iti,1.5,1
1234,deliberation,0,0,choice,2.5,0.047
1234,deliberation,0,0,confirmation,2.547,0.953
1234,deliberation,0,0,iti,3.5,1
1234,deliberation,0,1,choice,4.5,2.559
1234,deliberation,0,1,scramble_instruction,7.059,0.215
1234,deliberation,0,1,confirmation,7.274,-1.774
1234,deliberation,0,1,iti,5.5,2.5
1234,deliberation,0,2,choice,8,1.45
1234,deliberation,0,2,scramble_instruction,9.45,0.213
1234,deliberation,0,2,confirmation,9.662999999999998,-0.663
1234,deliberation,0,2,iti,8.999999999999998,3
1234,deliberation,0,3,choice,11.999999999999998,0.102
1234,deliberation,0,3,confirmation,12.101999999999999,0.898
1234,deliberation,0,3,iti,12.999999999999998,2
1234,deliberation,1,4,choice,0,0.128
1234,deliberation,1,4,confirmation,0.128,0.872
1234,deliberation,1,4,iti,1,3
1234,deliberation,1,5,choice,4,0.267
1234,deliberation,1,5,confirmation,4.267,0.733
1234,deliberation,1,5,iti,5,1
1234,deliberation,1,6,choice,6,0.153
1234,deliberation,1,6,confirmation,6.153,0.847
1234,deliberation,1,6,iti,7,1.5
1234,deliberation,1,7,choice,8.5,1.953
1234,deliberation,1,7,scramble_instruction,10.453,0.243
1234,deliberation,1,7,confirmation,10.696,-1.196
1234,deliberation,1,7,iti,9.5,1.5
1234,deliberation,1,8,choice,11,1.984
1234,deliberation,1,8,scramble_instruction,12.984,0.203
1234,deliberation,1,8,confirmation,13.187,-1.187
1234,deliberation,1,8,iti,12,1
1234,deliberation,1,9,choice,13,1.986
1234,deliberation,1,9,scramble_instruction,14.986,0.186
1234,deliberation,1,9,confirmation,15.172,-1.172
1234,deliberation,1,9,iti,14,2
1234,deliberation,1,10,choice,16,0.101
1234,deliberation,1,10,confirmation,16.101,0.899
1234,deliberation,1,10,iti,17,1.5
1234,deliberation,1,11,choice,18.5,0.005
1234,deliberation,1,11,confirmation,18.505,0.995
1234,deliberation,1,11,iti,19.5,1
1234,deliberation,1,12,choice,20.5,0.923
1234,deliberation,1,12,scramble_instruction,21.423000000000002,0.249
1234,deliberation,1,12,confirmation,21.672,-0.172
1234,deliberation,1,12,iti,21.5,1.5
1234,deliberation,1,13,choice,23,0.141
1234,deliberation,1,13,confirmation,23.141,0.859
1234,deliberation,1,13,iti,24,2
1234,deliberation,1,14,choice,26,1.593
1234,deliberation,1,14,scramble_instruction,27.593,0.293
1234,deliberation,1,14,confirmation,27.886,-0.886
1234,deliberation,1,14,iti,27,3.5
1234,deliberation,1,15,choice,30.5,1.558
1234,deliberation,1,15,scramble_instruction,32.058,0.235
1234,deliberation,1,15,confirmation,32.293,-0.793
1234,deliberation,1,15,iti,31.5,1.5
1234,deliberation,1,16,choice,33,0.179
1234,deliberation,1,16,confirmation,33.179,0.821
1234,deliberation,1,16,iti,34,3
1234,deliberation,1,17,choice,37,0.24
1234,deliberation,1,17,confirmation,37.24,0.76
1234,deliberation,1,17,iti,38,1.5
1234,deliberation,1,18,choice,39.5,0.261
1234,deliberation,1,18,confirmation,39.761,0.739
1234,deliberation,1,18,iti,40.5,3.5
1234,deliberation,1,19,choice,44,1.503
1234,deliberation,1,19,scramble_instruction,45.503,0.228
1234,deliberation,1,19,confirmation,45.731,-0.731
