PID,practice,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt,left_category,right_category
77131,1,1,1500,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77131,1,2,1000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77131,1,3,3000,NaN,NaN,NaN,NA,NA,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77131,0,4,1000,K,intact,K,38,50,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,objects
77131,0,5,1500,NaN,recombined,J,26,50,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,1,0,NaN,NaN,NaN,faces,objects
77131,0,6,1500,E,intact,E,52,45,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,1,1,NaN,NaN,NaN,objects,body_parts
77131,0,7,1000,NaN,recombined,B,40,20,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,0,0,NaN,NaN,NaN,body_parts,outdoor_scenes
77131,0,8,3000,H,intact,H,25,16,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,1,1,NaN,NaN,NaN,faces,outdoor_scenes
77131,0,9,3000,NaN,recombined,E,52,28,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,1,0,NaN,NaN,NaN,objects,faces
77131,0,10,1000,L,intact,L,47,24,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,faces
