"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object]","[object Object]","187.5","2782","2594.5","order","0","2598","0.0-0.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","2784.0999999940395","3005.800000011921","221.7000000178814","order","1","2822","0.0-1.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3007","3213.699999988079","206.69999998807907","order","2","3029","0.0-2.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3214.699999988079","3421.800000011921","207.10000002384186","order","3","3238","0.0-3.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3422.800000011921","3661.5999999940395","238.7999999821186","order","4","3477","0.0-4.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3662.199999988079","3886.0999999940395","223.90000000596046","order","5","3702","0.0-5.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","3887.199999988079","4109.699999988079","222.5","order","6","3925","0.0-6.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4110.5999999940395","4333.4000000059605","222.80000001192093","order","7","4149","0.0-7.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4334.300000011921","4525.300000011921","191","order","8","4341","0.0-8.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4526.300000011921","4733.5","207.19999998807907","order","9","4549","0.0-9.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4734.4000000059605","4941.699999988079","207.2999999821186","order","10","4757","0.0-10.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4942.5","5149.5999999940395","207.09999999403954","order","11","4965","0.0-11.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5150.5999999940395","5325.699999988079","175.09999999403954","order","12","5141","0.0-12.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5326.300000011921","5549.800000011921","223.5","order","13","5365","0.0-13.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5550.5","5745.9000000059605","195.40000000596046","order","14","5562","0.0-14.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5746.5999999940395","5937.5999999940395","191","order","15","5753","0.0-15.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5938.5","6146","207.5","order","16","5962","0.0-16.0","1688582632722","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6146.800000011921","6417.699999988079","270.89999997615814","order","17","6233","0.0-17.0","1688582632722","conditionC",""
"","","","","","1142.5","html-button-response","18","7378","0.0-18.0","1688582632722","conditionC","4"
