"rt","responses","ttype","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","warning","missed_checkup","success","start_time","view_history","repeat_instructions","key_press","response","stimulus_index","path","index","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","onset","duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","response_ends_trial","trial_duration","scramble_acc","chosen_left","old_pair","pair_type","old_response","pair_acc"
"3350","{""Q0"":""12"",""Q1"":""1""}","get_id","survey-text","0","3353","0.0-0.0-0.0-0.0","1","12","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","full_screen","fullscreen","1","5085","0.0-0.0-1.0","1","12","0","0","true","d04242023hr1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","","ratings_instructions","instructions","2","6164","0.0-1.0-0.0-0.0","1","12","0","0","","","[{""page_index"":0,""viewing_time"":909},{""page_index"":1,""viewing_time"":168}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2396","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","survey-multi-choice","3","8563","0.0-1.0-0.0-1.0","1","12","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936","","","html-keyboard-response","4","9500","0.0-1.0-1.0","1","12","0","0","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191","","rating","html-slider-response","5","10694","0.0-1.0-2.0","1","12","0","0","","","","","","50","12","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","","rating","html-slider-response","6","10848","0.0-1.0-3.0","1","12","0","0","","","","","","50","56","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178","","rating","html-slider-response","7","11028","0.0-1.0-4.0","1","12","0","0","","","","","","50","15","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","","rating","html-slider-response","8","11196","0.0-1.0-5.0","1","12","0","0","","","","","","50","34","Stimuli/Experimental_stims/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","9","11362","0.0-1.0-6.0","1","12","0","0","","","","","","50","32","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
