"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object]","[object Object]","294.40000000596046","16589.5","16295.09999999404","order","0","16299","0.0-0.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16590.100000023842","16801.30000001192","211.19999998807907","order","1","16511","0.0-1.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16802.100000023842","16979.20000001788","177.09999999403954","order","2","16689","0.0-2.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16979.90000000596","17170.70000001788","190.80000001192093","order","3","16880","0.0-3.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","17171.5","17376.90000000596","205.40000000596046","order","4","17086","0.0-4.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","17377.80000001192","17574.90000000596","197.09999999403954","order","5","17284","0.0-5.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","17575.5","17780.600000023842","205.10000002384186","order","6","17490","0.0-6.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","17781.100000023842","17965.20000001788","184.09999999403954","order","7","17675","0.0-7.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","17966.20000001788","18184.30000001192","218.09999999403954","order","8","17894","0.0-8.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","18185","18396.90000000596","211.90000000596046","order","9","18106","0.0-9.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","18397.5","20641.30000001192","2243.800000011921","order","10","20351","0.0-10.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","20642.20000001788","20859.70000001788","217.5","order","11","20569","0.0-11.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","20860.30000001192","21079.20000001788","218.90000000596046","order","12","20789","0.0-12.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","21080","21277.90000000596","197.90000000596046","order","13","20987","0.0-13.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","21278.80000001192","21476.20000001788","197.40000000596046","order","14","21185","0.0-14.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","21476.80000001192","21688.90000000596","212.09999999403954","order","15","21398","0.0-15.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","21689.70000001788","21887.90000000596","198.19999998807907","order","16","21597","0.0-16.0","1688581943940","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","21888.600000023842","22093","204.39999997615814","order","17","21802","0.0-17.0","1688581943940","conditionB",""
"","","","","","1684.9000000059605","html-button-response","18","23489","0.0-18.0","1688581943940","conditionB","2"
