"rt","responses","ttype","trial_type","trial_index","time_elapsed","internal_node_id","age","warning","missed_checkup","PID","success","start_time","view_history","repeat_instructions","key_press","response","stimulus_index","path","index","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","onset","duration","response_ends_trial","trial_duration","scramble_acc"
"4157","{""Q0"":""23"",""Q1"":""22""}","get_id","survey-text","0","4159","0.0-0.0-0.0-0.0","22","0","0","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","full_screen","fullscreen","1","6023","0.0-0.0-1.0","","0","0","23","true","d03212023hr1416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2272","","ratings_instructions","instructions","2","8296","0.0-1.0-0.0-0.0","","0","0","23","","","[{""page_index"":0,""viewing_time"":1444},{""page_index"":1,""viewing_time"":827}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2463","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","survey-multi-choice","3","10763","0.0-1.0-0.0-1.0","","0","0","23","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1268","","","html-keyboard-response","4","12033","0.0-1.0-1.0","","0","0","23","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1147","","rating","html-slider-response","5","13182","0.0-1.0-2.0","","0","0","23","","","","","","50","18","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163","","rating","html-slider-response","6","13348","0.0-1.0-3.0","","0","0","23","","","","","","50","44","Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178","","rating","html-slider-response","7","13527","0.0-1.0-4.0","","0","0","23","","","","","","50","51","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","","rating","html-slider-response","8","13784","0.0-1.0-5.0","","0","0","23","","","","","","50","42","Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","9","13952","0.0-1.0-6.0","","0","0","23","","","","","","50","41","Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","10","14118","0.0-1.0-7.0","","0","0","23","","","","","","50","19","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167","","rating","html-slider-response","11","14286","0.0-1.0-8.0","","0","0","23","","","","","","50","20","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","12","14454","0.0-1.0-9.0","","0","0","23","","","","","","50","29","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","13","14622","0.0-1.0-10.0","","0","0","23","","","","","","50","26","Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","14","14788","0.0-1.0-11.0","","0","0","23","","","","","","50","30","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"175","","rating","html-slider-response","15","14966","0.0-1.0-12.0","","0","0","23","","","","","","50","48","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","16","15134","0.0-1.0-13.0","","0","0","23","","","","","","50","14","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176","","rating","html-slider-response","17","15312","0.0-1.0-14.0","","0","0","23","","","","","","50","24","Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","","rating","html-slider-response","18","15480","0.0-1.0-15.0","","0","0","23","","","","","","50","16","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","","rating","html-slider-response","19","15670","0.0-1.0-16.0","","0","0","23","","","","","","50","40","Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
