PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,no_response
1234,1,0,NaN,1,1500,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,gain,1325,0,NaN,NaN,0
1234,1,0,NaN,2,1000,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,gain,287,0,NaN,NaN,0
1234,1,0,NaN,3,3000,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,gain,535,0,NaN,NaN,0
1234,0,1,1,4,1000,K,unchosen,no_gain,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,gain,373,0,NaN,NaN,0
1234,0,1,1,5,3500,A,unchosen,no_gain,50,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,gain,307,0,NaN,NaN,0
1234,0,1,1,6,1500,A,chosen,no_gain,18,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,196,0,NaN,NaN,0
1234,0,1,1,7,1500,D,chosen,no_gain,53,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,no_gain,95,1,NaN,NaN,0
1234,0,1,1,8,1000,C,unchosen,no_gain,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,no_gain,224,1,NaN,NaN,0
1234,0,1,1,9,2000,I,unchosen,no_gain,15,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,10,3000,H,unchosen,no_gain,12,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,11,1500,E,unchosen,no_gain,41,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,12,1000,H,chosen,no_gain,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,13,1500,C,chosen,no_gain,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,14,1500,F,unchosen,no_gain,36,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,15,1000,K,chosen,no_gain,37,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,16,3000,I,chosen,no_gain,40,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,17,2000,J,unchosen,no_gain,54,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,18,2000,E,chosen,no_gain,48,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,19,1000,L,unchosen,no_gain,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,20,1000,L,chosen,no_gain,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,21,1500,B,chosen,no_gain,22,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,22,3000,J,chosen,no_gain,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
1234,0,1,1,23,1000,D,unchosen,no_gain,34,Stimuli/Experimental_stims/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg,NaN,NaN,0,NaN,NaN,1
