"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object]","302.1000000014901","9985.19999999553","9683.09999999404","order","0","9697","0.0-0.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9986.39999999851","10209.10000000149","222.70000000298023","order","1","9921","0.0-1.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10210.19999999553","10449.29999999702","239.10000000149012","order","2","10161","0.0-2.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10450.5","10673.10000000149","222.60000000149012","order","3","10384","0.0-3.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10674","10913.10000000149","239.10000000149012","order","4","10624","0.0-4.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10914","11137.10000000149","223.10000000149012","order","5","10848","0.0-5.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","11137.79999999702","11362.29999999702","224.5","order","6","11074","0.0-6.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","11363.10000000149","11585.19999999553","222.09999999403954","order","7","11296","0.0-7.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","11585.79999999702","11809.39999999851","223.60000000149012","order","8","11521","0.0-8.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","11810.39999999851","12037.19999999553","226.79999999701977","order","9","11749","0.0-9.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","12038.10000000149","12261","222.89999999850988","order","10","11972","0.0-10.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","12261.89999999851","12469.39999999851","207.5","order","11","12181","0.0-11.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","12470.5","12692.69999999553","222.19999999552965","order","12","12404","0.0-12.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","12693.29999999702","12917.10000000149","223.80000000447035","order","13","12628","0.0-13.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","12917.79999999702","13124.60000000149","206.80000000447035","order","14","12836","0.0-14.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13125.29999999702","13333","207.70000000298023","order","15","13044","0.0-15.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13333.69999999553","13545.10000000149","211.40000000596046","order","16","13256","0.0-16.0","1688280746793","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13546","13764.60000000149","218.60000000149012","order","17","13476","0.0-17.0","1688280746793","conditionC",""
"","","","","","1087.6999999955297","html-button-response","18","14565","0.0-18.0","1688280746793","conditionC","2"
