"rt","responses","ttype","trial_type","trial_index","time_elapsed","internal_node_id","age","warning","missed_checkup","PID","success","start_time","view_history","repeat_instructions","key_press","response","stimulus_index","path","index","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","onset","duration","response_ends_trial","trial_duration","scramble_acc"
"3152","{""Q0"":""22"",""Q1"":""2""}","get_id","survey-text","0","3158","0.0-0.0-0.0-0.0","2","0","0","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","full_screen","fullscreen","1","5244","0.0-0.0-1.0","","0","0","22","true","d03222023hr1913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"981","","ratings_instructions","instructions","2","6225","0.0-1.0-0.0-0.0","","0","0","22","","","[{""page_index"":0,""viewing_time"":815},{""page_index"":1,""viewing_time"":166}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2953","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","survey-multi-choice","3","9182","0.0-1.0-0.0-1.0","","0","0","22","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1137","","","html-keyboard-response","4","10321","0.0-1.0-1.0","","0","0","22","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"876","","rating","html-slider-response","5","11200","0.0-1.0-2.0","","0","0","22","","","","","","50","45","Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","","rating","html-slider-response","6","11358","0.0-1.0-3.0","","0","0","22","","","","","","50","23","Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","","rating","html-slider-response","7","11516","0.0-1.0-4.0","","0","0","22","","","","","","50","16","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225","","rating","html-slider-response","8","11743","0.0-1.0-5.0","","0","0","22","","","","","","50","38","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163","","rating","html-slider-response","9","11908","0.0-1.0-6.0","","0","0","22","","","","","","50","59","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","10","12074","0.0-1.0-7.0","","0","0","22","","","","","","50","55","Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","","rating","html-slider-response","11","12236","0.0-1.0-8.0","","0","0","22","","","","","","50","19","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","12","12401","0.0-1.0-9.0","","0","0","22","","","","","","50","20","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","","rating","html-slider-response","13","12591","0.0-1.0-10.0","","0","0","22","","","","","","50","49","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
