"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object]","483.8999999985099","5009.69999999553","4525.79999999702","order","0","4532","0.0-0.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5011","5216.19999999553","205.19999999552965","order","1","4738","0.0-1.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5216.79999999702","5488","271.20000000298023","order","2","5010","0.0-2.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5488.69999999553","5680.5999999940395","191.89999999850988","order","3","5203","0.0-3.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5681.5","5888.5999999940395","207.09999999403954","order","4","5411","0.0-4.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5889.39999999851","6080.5","191.10000000149012","order","5","5603","0.0-5.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6081.19999999553","6304.5","223.30000000447035","order","6","5827","0.0-6.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6305.39999999851","6544.5","239.10000000149012","order","7","6067","0.0-7.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6545.29999999702","6800.69999999553","255.39999999850988","order","8","6323","0.0-8.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6801.69999999553","7040.5","238.80000000447035","order","9","6563","0.0-9.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7041.5","7249.39999999851","207.89999999850988","order","10","6772","0.0-10.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7249.89999999851","7456.39999999851","206.5","order","11","6979","0.0-11.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7456.89999999851","7668.69999999553","211.79999999701977","order","12","7191","0.0-12.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7669.19999999553","7876.69999999553","207.5","order","13","7399","0.0-13.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7877.29999999702","8084.5","207.20000000298023","order","14","7607","0.0-14.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8085.29999999702","8308.5","223.20000000298023","order","15","7831","0.0-15.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8309.09999999404","8516.79999999702","207.70000000298023","order","16","8039","0.0-16.0","1688280696535","conditionC",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8517.59999999404","8724.79999999702","207.20000000298023","order","17","8247","0.0-17.0","1688280696535","conditionC",""
"","","","","","1006.8000000044703","html-button-response","18","9255","0.0-18.0","1688280696535","conditionC","2"
