"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]","[object Object]","121.09999999403954","13354","13232.90000000596","order","0","13241","0.0-0.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13355.09999999404","13562.69999999553","207.60000000149012","order","1","13449","0.0-1.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13563.79999999702","13770.09999999404","206.29999999701977","order","2","13657","0.0-2.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13771.29999999702","13995.5","224.20000000298023","order","3","13882","0.0-3.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","13996.29999999702","14202.09999999404","205.79999999701977","order","4","14088","0.0-4.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14203","14414.19999999553","211.19999999552965","order","5","14301","0.0-5.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14414.79999999702","14622.59999999404","207.79999999701977","order","6","14509","0.0-6.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14623.5","14830.39999999851","206.89999999850988","order","7","14717","0.0-7.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","14831.5","15038.29999999702","206.79999999701977","order","8","14925","0.0-8.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","15039.09999999404","15250.39999999851","211.30000000447035","order","9","15137","0.0-9.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","15251.19999999553","15470.19999999553","219","order","10","15357","0.0-10.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","15471.29999999702","15678.59999999404","207.29999999701977","order","11","15565","0.0-11.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","15679.59999999404","15902.5","222.90000000596046","order","12","15789","0.0-12.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","15903.5","16144.29999999702","240.79999999701977","order","13","16031","0.0-13.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16145.19999999553","16365.69999999553","220.5","order","14","16252","0.0-14.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16366.5","16606.09999999404","239.59999999403954","order","15","16493","0.0-15.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16606.89999999851","16862","255.10000000149012","order","16","16749","0.0-16.0","1688277357661","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","16862.79999999702","17070.09999999404","207.29999999701977","order","17","16957","0.0-17.0","1688277357661","conditionB",""
"","","","","","1059.1000000014901","html-button-response","18","18013","0.0-18.0","1688277357661","conditionB","2"
