"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object]","216.60000000149012","4566.70000000298","4350.10000000149","order","0","4352","0.0-0.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4567.89999999851","4774.10000000149","206.20000000298023","order","1","4560","0.0-1.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4775.80000000447","4981.70000000298","205.89999999850988","order","2","4767","0.0-2.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","4982.70000000298","5190.10000000149","207.39999999850988","order","3","4976","0.0-3.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5191.30000000447","5402.10000000149","210.79999999701977","order","4","5188","0.0-4.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5403.30000000447","5606","202.69999999552965","order","5","5391","0.0-5.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5606.89999999851","5829.70000000298","222.80000000447035","order","6","5615","0.0-6.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","5830.60000000149","6054","223.39999999850988","order","7","5839","0.0-7.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6055","6277.89999999851","222.89999999850988","order","8","6063","0.0-8.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6279.10000000149","6501.5","222.39999999850988","order","9","6287","0.0-9.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6502.5","6729.20000000298","226.70000000298023","order","10","6515","0.0-10.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6729.89999999851","6949.5","219.60000000149012","order","11","6735","0.0-11.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","6950.20000000298","7173.89999999851","223.69999999552965","order","12","6959","0.0-12.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7174.80000000447","7381.80000000447","207","order","13","7167","0.0-13.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7382.80000000447","7593.60000000149","210.79999999701977","order","14","7379","0.0-14.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7594.20000000298","7834","239.79999999701977","order","15","7619","0.0-15.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7834.60000000149","8041.70000000298","207.10000000149012","order","16","7827","0.0-16.0","eg9gu","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8042.30000000447","8249.60000000149","207.29999999701977","order","17","8035","0.0-17.0","eg9gu","conditionB",""
"","","","","","1047.1999999955297","html-button-response","18","9084","0.0-18.0","eg9gu","conditionB","2"
