PID,trial,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,confidence_response,confidence_rt
99216,1,K,unchosen,gain,53,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,NaN,NaN
99216,2,G,unchosen,gain,13,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,NaN,NaN,NaN,NaN
99216,3,I,unchosen,gain,18,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,NaN,NaN,NaN
99216,4,L,unchosen,gain,35,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,NaN,NaN,NaN,NaN
99216,5,I,chosen,gain,42,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,NaN,NaN,NaN,NaN
99216,6,C,unchosen,gain,37,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,NaN,NaN,NaN
99216,7,K,chosen,gain,47,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,NaN,NaN,NaN,NaN
99216,8,J,unchosen,gain,51,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN,NaN,NaN,NaN
99216,9,J,chosen,gain,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,NaN,NaN,NaN,NaN
99216,10,F,unchosen,gain,38,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,NaN,NaN,NaN
99216,11,B,chosen,gain,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,NaN,NaN,NaN
99216,12,E,chosen,gain,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,NaN
99216,13,D,chosen,gain,57,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,NaN,NaN,NaN,NaN
99216,14,C,chosen,gain,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,NaN,NaN,NaN,NaN
99216,15,B,unchosen,gain,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,NaN,NaN,NaN,NaN
99216,16,A,unchosen,gain,56,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,NaN,NaN,NaN
99216,17,G,chosen,gain,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,NaN,NaN,NaN,NaN
99216,18,E,unchosen,gain,36,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,NaN,NaN,NaN,NaN
99216,19,H,chosen,gain,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN,NaN,NaN,NaN
99216,20,D,unchosen,gain,31,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,NaN,NaN,NaN
99216,21,L,chosen,gain,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,NaN,NaN,NaN,NaN
99216,22,H,unchosen,gain,22,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,NaN,NaN
99216,23,A,chosen,gain,20,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,NaN,NaN
99216,24,F,chosen,gain,26,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,NaN,NaN,NaN,NaN
